stat_key,layer,file_path,function,lines,inputs,derived_from,written_to,used_by,tests,display_name,aliases
L1.season,L1,etl/mappers.py,canonicalize_l1,57-98,ingest params,etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Season,
L1.week,L1,etl/mappers.py,canonicalize_l1,57-98,ingest params,etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Week,
L1.game_id,L1,etl/mappers.py,canonicalize_l1,57-98,raw['game_id'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Game ID,
L1.play_id,L1,etl/mappers.py,canonicalize_l1,57-98,raw['play_id'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Play ID,
L1.posteam,L1,etl/mappers.py,canonicalize_l1,57-98,raw['posteam'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Possessing team,TEAM (L2)
L1.defteam,L1,etl/mappers.py,canonicalize_l1,57-98,raw['defteam'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Defending team,OPP (L2)
L1.drive,L1,etl/mappers.py,canonicalize_l1,57-98,raw['drive'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Drive number,
L1.play_type,L1,etl/mappers.py,canonicalize_l1,57-98,raw['play_type'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Play type,
L1.epa,L1,etl/mappers.py,canonicalize_l1,57-98,raw['epa'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Expected points added,
L1.success,L1,etl/mappers.py,canonicalize_l1,57-98,raw['success'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Success probability,
L1.yardline_100,L1,etl/mappers.py,canonicalize_l1,57-98,raw['yardline_100'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Field position (to EZ),
L1.down,L1,etl/mappers.py,canonicalize_l1,57-98,raw['down'],etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Down,
L1.distance,L1,etl/mappers.py,canonicalize_l1,57-98,raw distance/ydstogo,etl/l1_ingest.py:run (provider parquet),data/l1/<season>/<week>.parquet,etl/l2_clean.py:run,tests/test_l1_ingest.py::test_l1_ingest_filesystem_roundtrip,Yards to go,
L2.season,L2,etl/mappers.py,prepare_l2,116-212,L1.season,L1 canonical dataframe,data/l2/<season>/<week>.parquet,etl/l3_aggregate.py:_aggregate,tests/test_l2_clean.py::test_l2_clean_generates_normalized_artifacts,Season,
L2.week,L2,etl/mappers.py,prepare_l2,116-212,L1.week,L1 canonical dataframe,data/l2/<season>/<week>.parquet,etl/l3_aggregate.py:_aggregate,tests/test_l2_clean.py::test_l2_clean_generates_normalized_artifacts,Week,
L2.game_id,L2,etl/mappers.py,prepare_l2,116-212,L1.game_id,L1 canonical dataframe,data/l2/<season>/<week>.parquet,etl/l3_aggregate.py:_aggregate,tests/test_l2_clean.py::test_l2_clean_generates_normalized_artifacts,Game ID,
L2.play_id,L2,etl/mappers.py,prepare_l2,116-212,L1.play_id,L1 canonical dataframe,data/l2/<season>/<week>.parquet,etl/l3_aggregate.py:_aggregate,tests/test_l2_clean.py::test_l2_clean_generates_normalized_artifacts,Play ID,
L2.TEAM,L2,etl/mappers.py,prepare_l2,116-212,L1.posteam,L1 canonical dataframe,data/l2/<season>/<week>.parquet,etl/l3_aggregate.py:_aggregate,tests/test_l2_clean.py::test_l2_clean_generates_normalized_artifacts,Possessing team (normalized),"team (reports, L4)"
