game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs,season
2017_01_BAL_CIN,Q1,away,BAL,CIN,2.5,3.0,0.0,3.0,0.6545096039772034,-189.44364633916382,0.6102151274681091,-156.55177264945894,20,0,20,True,True,22.5,2.5,2017
2017_01_JAX_HOU,Q1,away,JAX,HOU,5.5,3.0,0.0,3.0,0.6343854665756226,-173.51210320714367,0.5369848012924194,-115.97563164045393,29,7,22,True,True,27.5,5.5,2017
2017_02_ARI_IND,Q1,home,IND,ARI,-7.0,10.0,0.0,10.0,0.730673611164093,-271.2967022363605,0.45756274461746216,118.54926166159652,13,16,-3,False,True,4.0,7.0,2017
2017_02_DAL_DEN,Q1,home,DEN,DAL,-2.5,7.0,0.0,7.0,0.7886232137680054,-373.08884661651507,0.6256128549575806,-167.10318803459353,42,17,25,True,True,27.5,2.5,2017
2017_02_DET_NYG,Q1,away,DET,NYG,3.0,7.0,0.0,7.0,0.5244693756103516,-110.29139843170286,0.5034224987030029,-101.37843486427145,24,10,14,True,True,17.0,3.0,2017
2017_02_HOU_CIN,Q1,away,HOU,CIN,5.5,3.0,0.0,3.0,0.37793081998825073,164.59869031879654,0.2862463593482971,249.34942134346102,13,9,4,True,True,9.5,5.5,2017
2017_02_MIA_LAC,Q1,away,MIA,LAC,3.5,3.0,0.0,3.0,0.45576250553131104,119.41252030687278,0.42000627517700195,138.09168079181032,19,17,2,True,True,5.5,3.5,2017
2017_02_WAS_LA,Q1,away,WAS,LA,3.0,3.0,0.0,3.0,0.7079766392707825,-242.4383575008792,0.690641462802887,-223.24952434166477,27,20,7,True,True,10.0,3.0,2017
2017_03_BAL_JAX,Q1,home,JAX,BAL,-3.0,10.0,0.0,10.0,0.8608620166778564,-618.7110062424283,0.7500668168067932,-300.106935471216,44,7,37,True,True,40.0,3.0,2017
2017_03_DAL_ARI,Q1,home,ARI,DAL,-3.0,7.0,0.0,7.0,0.8142942786216736,-438.48637111334,0.6636680960655212,-197.32534686772127,17,28,-11,False,False,-8.0,3.0,2017
2017_03_HOU_NE,Q1,away,HOU,NE,13.5,10.0,7.0,3.0,0.4934695363044739,102.64675454717302,0.22943180799484253,335.8593556576424,33,36,-3,False,True,10.5,13.5,2017
2017_03_NO_CAR,Q1,away,NO,CAR,5.5,7.0,3.0,4.0,0.6242963671684265,-166.167242638374,0.470451295375824,112.56185493147417,34,13,21,True,True,26.5,5.5,2017
2017_03_OAK_WAS,Q1,home,WAS,LV,-3.5,7.0,0.0,7.0,0.7818611860275269,-358.42368984649823,0.6146597862243652,-159.51093715390223,27,10,17,True,True,20.5,3.5,2017
2017_03_PIT_CHI,Q1,home,CHI,PIT,-7.0,7.0,0.0,7.0,0.7927184104919434,-382.4355131458175,0.5008480548858643,-100.33979828954502,23,17,6,True,True,13.0,7.0,2017
2017_04_PHI_LAC,Q1,away,PHI,LAC,1.5,10.0,0.0,10.0,0.7654134631156921,-326.28192277427013,0.7694743275642395,-333.79116496392186,26,24,2,True,True,3.5,1.5,2017
2017_04_SF_ARI,Q1,away,SF,ARI,6.5,3.0,0.0,3.0,0.4879581928253174,104.93558970901158,0.37021374702453613,170.1142267236566,15,18,-3,False,True,3.5,6.5,2017
2017_04_TEN_HOU,Q1,home,HOU,TEN,-2.5,14.0,0.0,14.0,0.9259740114212036,-1250.8769274125368,0.857763946056366,-603.0566247263051,57,14,43,True,True,45.5,2.5,2017
2017_04_WAS_KC,Q1,away,WAS,KC,6.5,10.0,0.0,10.0,0.6825456619262695,-215.00593315809238,0.5205452144145966,-108.5702406284302,20,29,-9,False,False,-2.5,6.5,2017
2017_05_BAL_OAK,Q1,away,BAL,LV,3.0,14.0,3.0,11.0,0.8048115372657776,-412.32536287846375,0.7713958024978638,-337.4372872093284,30,17,13,True,True,16.0,3.0,2017
2017_05_MIN_CHI,Q1,home,CHI,MIN,-3.5,2.0,0.0,2.0,0.6576977968215942,-192.1395161102151,0.44116732478141785,126.67136567638212,17,20,-3,False,True,0.5,3.5,2017
2017_06_LA_JAX,Q1,away,LA,JAX,1.0,17.0,14.0,3.0,0.494948148727417,102.04136586249369,0.5668342113494873,-130.85849025967772,27,17,10,True,True,11.0,1.0,2017
2017_06_NE_NYJ,Q1,home,NYJ,NE,-9.0,7.0,0.0,7.0,0.7804726362228394,-355.5240780894572,0.42801395058631897,133.63724444732244,17,24,-7,False,True,2.0,9.0,2017
2017_06_NYG_DEN,Q1,away,NYG,DEN,14.0,3.0,0.0,3.0,0.5995082855224609,-149.69305577383759,0.26852309703826904,272.4074431695845,23,10,13,True,True,27.0,14.0,2017
2017_06_PIT_KC,Q1,away,PIT,KC,3.5,2.0,0.0,2.0,0.5439115166664124,-119.25570071204584,0.44933509826660156,122.55105462664646,19,13,6,True,True,9.5,3.5,2017
2017_06_TB_ARI,Q1,home,ARI,TB,-2.5,14.0,0.0,14.0,0.8892360329627991,-802.8206796386611,0.7817633748054504,-358.2182294601277,38,33,5,True,True,7.5,2.5,2017
2017_07_CAR_CHI,Q1,home,CHI,CAR,-2.5,7.0,0.0,7.0,0.7879557013511658,-371.59956969939395,0.6661410927772522,-199.5277281408007,17,3,14,True,True,16.5,2.5,2017
