game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs
2022_01_DEN_SEA,Q1,home,SEA,DEN,-6.0,7.0,3.0,4.0,0.6155733466148376,-160.1276449471588,0.3731222152709961,168.00870038620104,17,16,1,True,True,7.0,6.0
2022_01_PHI_DET,Q1,home,DET,PHI,-6.0,7.0,0.0,7.0,0.6574379205703735,-191.91789168988652,0.40241706371307373,148.4984087834325,35,38,-3,False,True,3.0,6.0
2022_01_PIT_CIN,Q1,away,PIT,CIN,7.5,10.0,3.0,7.0,0.5835177898406982,-140.106294004132,0.37311869859695435,168.01122638997185,23,20,3,True,True,10.5,7.5
2022_02_CAR_NYG,Q1,home,NYG,CAR,-1.0,6.0,0.0,6.0,0.7129486799240112,-248.36976180262056,0.596502423286438,-147.83296299940056,19,16,3,True,True,4.0,1.0
2022_02_CHI_GB,Q1,away,CHI,GB,10.5,7.0,3.0,4.0,0.525357723236084,-110.68498297664148,0.277290403842926,260.6327468030449,10,27,-17,False,False,-6.5,10.5
2022_02_CIN_DAL,Q1,home,DAL,CIN,-7.5,14.0,3.0,11.0,0.8246484994888306,-470.28311539102145,0.5776504874229431,-136.77072429852797,20,17,3,True,True,10.5,7.5
2022_02_IND_JAX,Q1,home,JAX,IND,-3.0,7.0,0.0,7.0,0.7793663740158081,-353.24006961280173,0.6342109441757202,-173.3816072617511,24,0,24,True,True,27.0,3.0
2022_02_LAC_KC,Q1,away,LAC,KC,4.0,3.0,0.0,3.0,0.7336968183517456,-275.5118484918616,0.6852100491523743,-217.67214846195984,24,27,-3,False,True,1.0,4.0
2022_02_TB_NO,Q1,home,NO,TB,-2.5,3.0,0.0,3.0,0.6204699277877808,-163.48373244079505,0.49197208881378174,103.26356367312412,10,20,-10,False,False,-7.5,2.5
2022_02_WAS_DET,Q1,home,DET,WAS,-1.0,12.0,0.0,12.0,0.8595284223556519,-611.8877831157006,0.7987743020057678,-396.9544198219968,36,27,9,True,True,10.0,1.0
2022_03_DAL_NYG,Q1,away,DAL,NYG,1.0,3.0,0.0,3.0,0.47586286067962646,110.14457790881218,0.5441100895404816,-119.3512023532262,23,16,7,True,True,8.0,1.0
2022_03_DET_MIN,Q1,away,DET,MIN,6.5,7.0,0.0,7.0,0.6822938919067383,-214.75630292460505,0.5315355062484741,-113.46334958960651,24,28,-4,False,True,2.5,6.5
2022_03_GB_TB,Q1,away,GB,TB,1.0,7.0,3.0,4.0,0.6582329273223877,-192.59694100001744,0.6872868537902832,-219.7818870490861,14,12,2,True,True,3.0,1.0
2022_03_KC_IND,Q1,home,IND,KC,-4.5,7.0,6.0,1.0,0.6081959009170532,-155.22959109937625,0.4166654050350189,140.00072670202948,20,17,3,True,True,7.5,4.5
2022_03_LV_TEN,Q1,home,TEN,LV,-1.5,7.0,3.0,4.0,0.7435172200202942,-289.8897228418707,0.6328242421150208,-172.34913485580876,24,22,2,True,True,3.5,1.5
2022_03_NO_CAR,Q1,home,CAR,NO,-2.0,7.0,0.0,7.0,0.7676785588264465,-330.43810117076526,0.6416799426078796,-179.08010711933719,22,14,8,True,True,10.0,2.0
2022_04_BUF_BAL,Q1,home,BAL,BUF,-3.0,14.0,3.0,11.0,0.8957522511482239,-859.2533277834541,0.8070241212844849,-418.199479984853,20,23,-3,False,False,0.0,3.0
2022_04_CLE_ATL,Q1,home,ATL,CLE,-1.0,10.0,0.0,10.0,0.8027322888374329,-406.9253321319808,0.7104179263114929,-245.3252431211138,23,20,3,True,True,4.0,1.0
2022_04_DEN_LV,Q1,away,DEN,LV,2.5,7.0,3.0,4.0,0.5275068283081055,-111.64327019144406,0.492828905582428,102.91017606164849,23,32,-9,False,False,-6.5,2.5
2022_04_JAX_PHI,Q1,away,JAX,PHI,6.5,14.0,0.0,14.0,0.8717020750045776,-679.4358326805985,0.7209621667861938,-258.3743424619319,21,29,-8,False,False,-1.5,6.5
2022_04_KC_TB,Q1,away,KC,TB,1.0,14.0,3.0,11.0,0.8002851605415344,-400.71391926185265,0.8088915348052979,-423.26305848419406,41,31,10,True,True,11.0,1.0
2022_04_NE_GB,Q1,away,NE,GB,10.0,3.0,0.0,3.0,0.39858925342559814,150.88483731201825,0.2120605707168579,371.5633823956809,24,27,-3,False,True,7.0,10.0
2022_04_NYJ_PIT,Q1,away,NYJ,PIT,3.0,3.0,0.0,3.0,0.6836285591125488,-216.08415639379695,0.6292409896850586,-169.71697846278894,24,20,4,True,True,7.0,3.0
2022_04_SEA_DET,Q1,away,SEA,DET,3.0,14.0,6.0,8.0,0.6659408807754517,-199.3482118737847,0.6223416328430176,-164.78957887998465,48,45,3,True,True,6.0,3.0
2022_04_TEN_IND,Q1,away,TEN,IND,4.5,14.0,0.0,14.0,0.7906001210212708,-377.5551948153607,0.6720993220806122,-204.97039723896006,24,17,7,True,True,11.5,4.5
2022_05_DAL_LA,Q1,away,DAL,LA,5.5,9.0,3.0,6.0,0.662837028503418,-196.59247442305136,0.5325044095516205,-113.90576091656617,22,10,12,True,True,17.5,5.5
2022_05_LAC_CLE,Q1,home,CLE,LAC,-1.0,14.0,3.0,11.0,0.742625892162323,-288.5394721331832,0.6065802574157715,-154.18144840199693,28,30,-2,False,False,-1.0,1.0
2022_05_LV_KC,Q1,away,LV,KC,7.5,7.0,0.0,7.0,0.6841248869895935,-216.58081273628386,0.4790332317352295,108.75378444573516,29,30,-1,False,True,6.5,7.5
2022_05_MIA_NYJ,Q1,home,NYJ,MIA,-3.0,5.0,0.0,5.0,0.8005130290985107,-401.2858711929715,0.6992698311805725,-232.5240044674224,40,17,23,True,True,26.0,3.0
2022_05_SEA_NO,Q1,away,SEA,NO,5.5,10.0,3.0,7.0,0.6886292695999146,-221.16056596427137,0.545711100101471,-120.12424257413336,32,39,-7,False,False,-1.5,5.5
2022_06_CAR_LA,Q1,away,CAR,LA,10.0,3.0,0.0,3.0,0.4887561798095703,104.60099356485294,0.2648664712905884,277.5487305461503,10,24,-14,False,False,-4.0,10.0
2022_06_DEN_LAC,Q1,away,DEN,LAC,3.5,10.0,0.0,10.0,0.7219666838645935,-259.66912667149023,0.6478008329868317,-183.9302569851368,16,19,-3,False,True,0.5,3.5
2022_06_JAX_IND,Q1,away,JAX,IND,1.0,7.0,0.0,7.0,0.5948314666748047,-146.8108744262681,0.5847449004650116,-140.8158264931175,27,34,-7,False,False,-6.0,1.0
2022_06_SF_ATL,Q1,home,ATL,SF,-3.5,14.0,0.0,14.0,0.8322641849517822,-496.1755989396405,0.6847004890441895,-217.15875389992303,28,14,14,True,True,17.5,3.5
2022_06_TB_PIT,Q1,home,PIT,TB,-10.0,7.0,3.0,4.0,0.5855506062507629,-141.28398185208852,0.23318493366241455,328.8441728605483,20,18,2,True,True,12.0,10.0
2022_07_CHI_NE,Q1,away,CHI,NE,9.5,10.0,0.0,10.0,0.7219666838645935,-259.66912667149023,0.4852219820022583,106.0912401110768,33,14,19,True,True,28.5,9.5
2022_07_CLE_BAL,Q1,away,CLE,BAL,6.5,10.0,3.0,7.0,0.6734598875045776,-206.24109006332833,0.509229302406311,-103.76114647902308,20,23,-3,False,True,3.5,6.5
2022_07_DET_DAL,Q1,away,DET,DAL,7.0,3.0,0.0,3.0,0.4396737217903137,127.44138447212303,0.29344964027404785,240.77397371014538,6,24,-18,False,False,-11.0,7.0
2022_07_KC_SF,Q1,home,SF,KC,-1.0,10.0,7.0,3.0,0.6734692454338074,-206.24986651825017,0.5700054168701172,-132.56106919327007,23,44,-21,False,False,-20.0,1.0
