q1_result,q2_result,q3_result,q4_result,completed_path,sample_size,sample_quality,data_status,path_frequency,path_frequency_pct,regulation_win_count,regulation_loss_count,regulation_tie_count,regulation_win_probability,regulation_loss_probability,regulation_tie_probability,regulation_win_pct,regulation_loss_pct,regulation_tie_pct,regulation_fair_decimal_tie_is_loss,regulation_fair_american_tie_is_loss,regulation_fair_decimal_tie_is_push,regulation_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
WIN,WIN,WIN,WIN,WIN-WIN-WIN-WIN,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,WIN,LOSS,WIN-WIN-WIN-LOSS,2,VERY_LOW,AVAILABLE,0.0426,4.2553,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,WIN,TIE,WIN-WIN-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,WIN,LOSS,LOSS,WIN-WIN-LOSS-LOSS,2,VERY_LOW,AVAILABLE,0.0426,4.2553,0,1,1,0.0,0.5,0.5,0.0,50.0,50.0,,,,,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,WIN,LOSS,TIE,WIN-WIN-LOSS-TIE,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,WIN,WIN-WIN-TIE-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,WIN,TIE,LOSS,WIN-WIN-TIE-LOSS,4,VERY_LOW,AVAILABLE,0.0851,8.5106,1,2,1,0.25,0.5,0.25,25.0,50.0,25.0,4.0,300.0,3.0,200.0,2,2,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,WIN,TIE,TIE,WIN-WIN-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,WIN,WIN,WIN-LOSS-WIN-WIN,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,WIN,TIE,WIN-LOSS-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,LOSS,WIN,WIN-LOSS-LOSS-WIN,1,VERY_LOW,AVAILABLE,0.0213,2.1277,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
WIN,LOSS,LOSS,LOSS,WIN-LOSS-LOSS-LOSS,2,VERY_LOW,AVAILABLE,0.0426,4.2553,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
WIN,LOSS,LOSS,TIE,WIN-LOSS-LOSS-TIE,2,VERY_LOW,AVAILABLE,0.0426,4.2553,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,LOSS,TIE,WIN,WIN-LOSS-TIE-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,TIE,LOSS,WIN-LOSS-TIE-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,TIE,TIE,WIN-LOSS-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,WIN,WIN,WIN-TIE-WIN-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,WIN,LOSS,WIN-TIE-WIN-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,WIN,TIE,WIN-TIE-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,LOSS,WIN,WIN-TIE-LOSS-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,LOSS,LOSS,WIN-TIE-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,LOSS,TIE,WIN-TIE-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,TIE,WIN,WIN-TIE-TIE-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,TIE,LOSS,WIN-TIE-TIE-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,TIE,TIE,WIN-TIE-TIE-TIE,2,VERY_LOW,AVAILABLE,0.0426,4.2553,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,WIN,WIN,LOSS-WIN-WIN-WIN,3,VERY_LOW,AVAILABLE,0.0638,6.383,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,WIN,LOSS,LOSS-WIN-WIN-LOSS,3,VERY_LOW,AVAILABLE,0.0638,6.383,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
LOSS,WIN,WIN,TIE,LOSS-WIN-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,WIN,LOSS,WIN,LOSS-WIN-LOSS-WIN,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,LOSS,LOSS,LOSS-WIN-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,WIN,LOSS,TIE,LOSS-WIN-LOSS-TIE,1,VERY_LOW,AVAILABLE,0.0213,2.1277,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,WIN,TIE,WIN,LOSS-WIN-TIE-WIN,1,VERY_LOW,AVAILABLE,0.0213,2.1277,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,TIE,LOSS,LOSS-WIN-TIE-LOSS,1,VERY_LOW,AVAILABLE,0.0213,2.1277,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,WIN,TIE,TIE,LOSS-WIN-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,3,VERY_LOW,AVAILABLE,0.0638,6.383,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
LOSS,LOSS,WIN,LOSS,LOSS-LOSS-WIN-LOSS,1,VERY_LOW,AVAILABLE,0.0213,2.1277,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,WIN,TIE,LOSS-LOSS-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,LOSS,LOSS,WIN,LOSS-LOSS-LOSS-WIN,2,VERY_LOW,AVAILABLE,0.0426,4.2553,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
