completed_quarters,completed_path,margin_bucket,sample_size,sample_quality,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
1,WIN,LEAD_1_3,3,VERY_LOW,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
1,WIN,LEAD_4_7,14,VERY_LOW,10,4,0,0.7143,0.2857,0.0,71.4286,28.5714,0.0,1.4,-250.0,1.4,-250.0
1,WIN,LEAD_8_14,3,VERY_LOW,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
1,LOSS,TRAIL_1_3,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
1,LOSS,TRAIL_4_7,9,VERY_LOW,4,5,0,0.4444,0.5556,0.0,44.4444,55.5556,0.0,2.25,125.0,2.25,125.0
1,LOSS,TRAIL_8_14,7,VERY_LOW,1,6,0,0.1429,0.8571,0.0,14.2857,85.7143,0.0,7.0,600.0,7.0,600.0
1,TIE,TIE,8,VERY_LOW,5,3,0,0.625,0.375,0.0,62.5,37.5,0.0,1.6,-166.67,1.6,-166.67
2,WIN-WIN,LEAD_15_PLUS,4,VERY_LOW,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0
2,WIN-WIN,LEAD_4_7,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,WIN-WIN,LEAD_8_14,5,VERY_LOW,5,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,LEAD_4_7,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
2,WIN-LOSS,TIE,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
