role,side,spread_bucket,season_phase,completed_quarters,completed_path,next_quarter,sample_size,sample_quality,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
FAVORITE,away,0.5-1.5,EARLY,1,WIN,Q2,20,LOW,11,7,2,0.55,0.35,0.1,55.0,35.0,10.0,1.8182,-122.22,1.6364,-157.14,13,7,0,0.65,0.35,0.0,65.0,35.0,0.0,1.5385,-185.71,1.5385,-185.71
FAVORITE,away,0.5-1.5,EARLY,1,LOSS,Q2,19,VERY_LOW,10,8,1,0.5263,0.4211,0.0526,52.6316,42.1053,5.2632,1.9,-111.11,1.8,-125.0,7,12,0,0.3684,0.6316,0.0,36.8421,63.1579,0.0,2.7143,171.43,2.7143,171.43
FAVORITE,away,0.5-1.5,EARLY,1,TIE,Q2,8,VERY_LOW,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,5,3,0,0.625,0.375,0.0,62.5,37.5,0.0,1.6,-166.67,1.6,-166.67
FAVORITE,away,0.5-1.5,EARLY,2,WIN-WIN,Q3,11,VERY_LOW,4,3,4,0.3636,0.2727,0.3636,36.3636,27.2727,36.3636,2.75,175.0,1.75,-133.33,8,3,0,0.7273,0.2727,0.0,72.7273,27.2727,0.0,1.375,-266.67,1.375,-266.67
FAVORITE,away,0.5-1.5,EARLY,2,WIN-LOSS,Q3,7,VERY_LOW,2,5,0,0.2857,0.7143,0.0,28.5714,71.4286,0.0,3.5,250.0,3.5,250.0,3,4,0,0.4286,0.5714,0.0,42.8571,57.1429,0.0,2.3333,133.33,2.3333,133.33
FAVORITE,away,0.5-1.5,EARLY,2,WIN-TIE,Q3,2,VERY_LOW,0,0,2,0.0,0.0,1.0,0.0,0.0,100.0,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,2,LOSS-WIN,Q3,10,VERY_LOW,6,2,2,0.6,0.2,0.2,60.0,20.0,20.0,1.6667,-150.0,1.3333,-300.0,6,4,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0
FAVORITE,away,0.5-1.5,EARLY,2,LOSS-LOSS,Q3,8,VERY_LOW,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,1,7,0,0.125,0.875,0.0,12.5,87.5,0.0,8.0,700.0,8.0,700.0
FAVORITE,away,0.5-1.5,EARLY,2,LOSS-TIE,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,2,TIE-WIN,Q3,4,VERY_LOW,1,0,3,0.25,0.0,0.75,25.0,0.0,75.0,4.0,300.0,1.0,,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
