game_id,season,week,season_phase,team,opponent,side,home_team,away_team,role,spread_line_away_perspective,spread_abs,spread_bucket,q1_result,q2_result,q3_result,q4_result,path4,q1_points_for,q1_points_against,q2_points_for,q2_points_against,q3_points_for,q3_points_against,q4_points_for,q4_points_against,ot_points_for,ot_points_against,after_q1_margin,after_q2_margin,after_q3_margin,after_q4_margin,after_q1_state,after_q2_state,after_q3_state,after_q4_regulation_state,after_q1_margin_bucket,after_q2_margin_bucket,after_q3_margin_bucket,after_q4_margin_bucket,final_margin,final_state,went_to_overtime
2016_02_GB_MIN,2016,2,EARLY,GB,MIN,away,MIN,GB,FAVORITE,-1.5,1.5,0.5-1.5,WIN,LOSS,LOSS,WIN,WIN-LOSS-LOSS-WIN,7.0,0.0,0.0,10.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,-3.0,-10.0,-3.0,WIN,LOSS,LOSS,LOSS,LEAD_4_7,TRAIL_1_3,TRAIL_8_14,TRAIL_1_3,-3.0,LOSS,False
2016_02_KC_HOU,2016,2,EARLY,KC,HOU,away,HOU,KC,FAVORITE,-1.0,1.0,0.5-1.5,LOSS,LOSS,TIE,WIN,LOSS-LOSS-TIE-WIN,0.0,7.0,3.0,6.0,0.0,0.0,9.0,6.0,0.0,0.0,-7.0,-10.0,-10.0,-7.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_8_14,TRAIL_8_14,TRAIL_4_7,-7.0,LOSS,False
2016_03_BAL_JAX,2016,3,EARLY,BAL,JAX,away,JAX,BAL,FAVORITE,-1.0,1.0,0.5-1.5,WIN,LOSS,LOSS,TIE,WIN-LOSS-LOSS-TIE,7.0,0.0,6.0,7.0,3.0,7.0,3.0,3.0,0.0,0.0,7.0,6.0,2.0,2.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_4_7,LEAD_1_3,LEAD_1_3,2.0,WIN,False
2016_03_OAK_TEN,2016,3,EARLY,LV,TEN,away,TEN,LV,FAVORITE,-1.5,1.5,0.5-1.5,WIN,WIN,LOSS,TIE,WIN-WIN-LOSS-TIE,7.0,3.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,14.0,7.0,7.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_8_14,LEAD_4_7,LEAD_4_7,7.0,WIN,False
2016_04_DAL_SF,2016,4,EARLY,DAL,SF,away,SF,DAL,FAVORITE,-1.0,1.0,0.5-1.5,LOSS,WIN,WIN,WIN,LOSS-WIN-WIN-WIN,0.0,7.0,14.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,-7.0,0.0,4.0,7.0,LOSS,TIE,WIN,WIN,TRAIL_4_7,TIE,LEAD_4_7,LEAD_4_7,7.0,WIN,False
2016_04_SEA_NYJ,2016,4,EARLY,SEA,NYJ,away,NYJ,SEA,FAVORITE,-1.0,1.0,0.5-1.5,LOSS,WIN,WIN,WIN,LOSS-WIN-WIN-WIN,0.0,3.0,14.0,7.0,3.0,0.0,10.0,7.0,0.0,0.0,-3.0,4.0,7.0,10.0,LOSS,WIN,WIN,WIN,TRAIL_1_3,LEAD_4_7,LEAD_4_7,LEAD_8_14,10.0,WIN,False
2017_02_TEN_JAX,2017,2,EARLY,TEN,JAX,away,JAX,TEN,FAVORITE,-1.0,1.0,0.5-1.5,TIE,WIN,WIN,WIN,TIE-WIN-WIN-WIN,3.0,3.0,3.0,0.0,17.0,0.0,14.0,13.0,0.0,0.0,0.0,3.0,20.0,21.0,TIE,WIN,WIN,WIN,TIE,LEAD_1_3,LEAD_15_PLUS,LEAD_15_PLUS,21.0,WIN,False
2017_05_NYJ_CLE,2017,5,EARLY,NYJ,CLE,away,CLE,NYJ,FAVORITE,-1.5,1.5,0.5-1.5,TIE,WIN,TIE,TIE,TIE-WIN-TIE-TIE,0.0,0.0,3.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,3.0,TIE,WIN,WIN,WIN,TIE,LEAD_1_3,LEAD_1_3,LEAD_1_3,3.0,WIN,False
2017_05_SF_IND,2017,5,EARLY,SF,IND,away,IND,SF,FAVORITE,-1.0,1.0,0.5-1.5,TIE,TIE,LOSS,WIN,TIE-TIE-LOSS-WIN,3.0,3.0,3.0,3.0,0.0,10.0,17.0,7.0,0.0,3.0,0.0,0.0,-10.0,0.0,TIE,TIE,LOSS,TIE,TIE,TIE,TRAIL_8_14,TIE,-3.0,LOSS,True
2018_01_CIN_IND,2018,1,EARLY,CIN,IND,away,IND,CIN,FAVORITE,-1.0,1.0,0.5-1.5,TIE,LOSS,TIE,WIN,TIE-LOSS-TIE-WIN,3.0,3.0,7.0,13.0,7.0,7.0,17.0,0.0,0.0,0.0,0.0,-6.0,-6.0,11.0,TIE,LOSS,LOSS,WIN,TIE,TRAIL_4_7,TRAIL_4_7,LEAD_8_14,11.0,WIN,False
