game_id,season,week,season_phase,team,opponent,side,home_team,away_team,role,spread_line_away_perspective,spread_abs,spread_bucket,q1_result,q2_result,q3_result,q4_result,path4,q1_points_for,q1_points_against,q2_points_for,q2_points_against,q3_points_for,q3_points_against,q4_points_for,q4_points_against,ot_points_for,ot_points_against,after_q1_margin,after_q2_margin,after_q3_margin,after_q4_margin,after_q1_state,after_q2_state,after_q3_state,after_q4_regulation_state,after_q1_margin_bucket,after_q2_margin_bucket,after_q3_margin_bucket,after_q4_margin_bucket,final_margin,final_state,went_to_overtime
2016_02_NYJ_BUF,2016,2,EARLY,BUF,NYJ,home,BUF,NYJ,FAVORITE,1.5,1.5,0.5-1.5,WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,7.0,6.0,3.0,14.0,14.0,7.0,7.0,10.0,0.0,0.0,1.0,-10.0,-3.0,-6.0,WIN,LOSS,LOSS,LOSS,LEAD_1_3,TRAIL_8_14,TRAIL_1_3,TRAIL_4_7,-6.0,LOSS,False
2016_14_PIT_BUF,2016,14,LATE,BUF,PIT,home,BUF,PIT,UNDERDOG,-1.0,1.0,0.5-1.5,LOSS,TIE,LOSS,WIN,LOSS-TIE-LOSS-WIN,0.0,7.0,7.0,7.0,0.0,7.0,13.0,6.0,0.0,0.0,-7.0,-7.0,-14.0,-7.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_4_7,TRAIL_8_14,TRAIL_4_7,-7.0,LOSS,False
2019_02_BUF_NYG,2019,2,EARLY,BUF,NYG,away,NYG,BUF,FAVORITE,-1.0,1.0,0.5-1.5,TIE,WIN,TIE,TIE,TIE-WIN-TIE-TIE,7.0,7.0,14.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,14.0,14.0,14.0,TIE,WIN,WIN,WIN,TIE,LEAD_8_14,LEAD_8_14,LEAD_8_14,14.0,WIN,False
2019_08_PHI_BUF,2019,8,MIDDLE,BUF,PHI,home,BUF,PHI,FAVORITE,1.0,1.0,0.5-1.5,LOSS,LOSS,LOSS,LOSS,LOSS-LOSS-LOSS-LOSS,0.0,3.0,7.0,8.0,6.0,13.0,0.0,7.0,0.0,0.0,-3.0,-4.0,-11.0,-18.0,LOSS,LOSS,LOSS,LOSS,TRAIL_1_3,TRAIL_4_7,TRAIL_8_14,TRAIL_15_PLUS,-18.0,LOSS,False
2019_15_BUF_PIT,2019,15,LATE,BUF,PIT,away,PIT,BUF,UNDERDOG,1.0,1.0,0.5-1.5,TIE,WIN,LOSS,WIN,TIE-WIN-LOSS-WIN,0.0,0.0,7.0,3.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,4.0,-3.0,7.0,TIE,WIN,LOSS,WIN,TIE,LEAD_4_7,TRAIL_1_3,LEAD_4_7,7.0,WIN,False
2019_17_NYJ_BUF,2019,17,LATE,BUF,NYJ,home,BUF,NYJ,UNDERDOG,-1.5,1.5,0.5-1.5,TIE,LOSS,WIN,LOSS,TIE-LOSS-WIN-LOSS,0.0,0.0,0.0,3.0,3.0,0.0,3.0,10.0,0.0,0.0,0.0,-3.0,0.0,-7.0,TIE,LOSS,TIE,LOSS,TIE,TRAIL_1_3,TIE,TRAIL_4_7,-7.0,LOSS,False
2020_03_LA_BUF,2020,3,EARLY,BUF,LA,home,BUF,LA,FAVORITE,1.5,1.5,0.5-1.5,WIN,WIN,LOSS,LOSS,WIN-WIN-LOSS-LOSS,7.0,0.0,14.0,3.0,7.0,14.0,7.0,15.0,0.0,0.0,7.0,18.0,11.0,3.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_15_PLUS,LEAD_8_14,LEAD_1_3,3.0,WIN,False
2020_13_BUF_SF,2020,13,LATE,BUF,SF,away,SF,BUF,UNDERDOG,1.5,1.5,0.5-1.5,LOSS,WIN,TIE,TIE,LOSS-WIN-TIE-TIE,0.0,7.0,17.0,0.0,10.0,10.0,7.0,7.0,0.0,0.0,-7.0,10.0,10.0,10.0,LOSS,WIN,WIN,WIN,TRAIL_4_7,LEAD_8_14,LEAD_8_14,LEAD_8_14,10.0,WIN,False
2021_16_BUF_NE,2021,16,LATE,BUF,NE,away,NE,BUF,UNDERDOG,1.0,1.0,0.5-1.5,WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,7.0,0.0,10.0,7.0,3.0,7.0,13.0,7.0,0.0,0.0,7.0,10.0,6.0,12.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_8_14,LEAD_4_7,LEAD_8_14,12.0,WIN,False
2022_01_BUF_LA,2022,1,EARLY,BUF,LA,away,LA,BUF,FAVORITE,-1.0,1.0,0.5-1.5,WIN,LOSS,WIN,WIN,WIN-LOSS-WIN-WIN,7.0,0.0,3.0,10.0,7.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,7.0,21.0,WIN,TIE,WIN,WIN,LEAD_4_7,TIE,LEAD_4_7,LEAD_15_PLUS,21.0,WIN,False
