q1_result,q2_result,q3_result,q4_result,completed_path,sample_size,sample_quality,data_status,path_frequency,path_frequency_pct,regulation_win_count,regulation_loss_count,regulation_tie_count,regulation_win_probability,regulation_loss_probability,regulation_tie_probability,regulation_win_pct,regulation_loss_pct,regulation_tie_pct,regulation_fair_decimal_tie_is_loss,regulation_fair_american_tie_is_loss,regulation_fair_decimal_tie_is_push,regulation_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
WIN,WIN,WIN,WIN,WIN-WIN-WIN-WIN,7,VERY_LOW,AVAILABLE,0.0427,4.2683,7,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,7,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,WIN,LOSS,WIN-WIN-WIN-LOSS,8,VERY_LOW,AVAILABLE,0.0488,4.878,8,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,8,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,WIN,TIE,WIN-WIN-WIN-TIE,6,VERY_LOW,AVAILABLE,0.0366,3.6585,6,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,6,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,6,VERY_LOW,AVAILABLE,0.0366,3.6585,5,1,0,0.8333,0.1667,0.0,83.3333,16.6667,0.0,1.2,-500.0,1.2,-500.0,5,1,0,0.8333,0.1667,0.0,83.3333,16.6667,0.0,1.2,-500.0,1.2,-500.0
WIN,WIN,LOSS,LOSS,WIN-WIN-LOSS-LOSS,6,VERY_LOW,AVAILABLE,0.0366,3.6585,3,1,2,0.5,0.1667,0.3333,50.0,16.6667,33.3333,2.0,100.0,1.3333,-300.0,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,WIN,LOSS,TIE,WIN-WIN-LOSS-TIE,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,WIN,WIN-WIN-TIE-WIN,4,VERY_LOW,AVAILABLE,0.0244,2.439,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,LOSS,WIN-WIN-TIE-LOSS,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,TIE,WIN-WIN-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,WIN,WIN,WIN-LOSS-WIN-WIN,8,VERY_LOW,AVAILABLE,0.0488,4.878,8,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,8,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,4,VERY_LOW,AVAILABLE,0.0244,2.439,2,2,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,2,2,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,LOSS,WIN,TIE,WIN-LOSS-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,LOSS,WIN,WIN-LOSS-LOSS-WIN,4,VERY_LOW,AVAILABLE,0.0244,2.439,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0
WIN,LOSS,LOSS,LOSS,WIN-LOSS-LOSS-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
WIN,LOSS,LOSS,TIE,WIN-LOSS-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,TIE,WIN,WIN-LOSS-TIE-WIN,4,VERY_LOW,AVAILABLE,0.0244,2.439,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0
WIN,LOSS,TIE,LOSS,WIN-LOSS-TIE-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,LOSS,TIE,TIE,WIN-LOSS-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,WIN,WIN,WIN-TIE-WIN-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,TIE,WIN,LOSS,WIN-TIE-WIN-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
WIN,TIE,WIN,TIE,WIN-TIE-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,LOSS,WIN,WIN-TIE-LOSS-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,TIE,LOSS,LOSS,WIN-TIE-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,LOSS,TIE,WIN-TIE-LOSS-TIE,2,VERY_LOW,AVAILABLE,0.0122,1.2195,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,TIE,TIE,WIN,WIN-TIE-TIE-WIN,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,TIE,TIE,LOSS,WIN-TIE-TIE-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
WIN,TIE,TIE,TIE,WIN-TIE-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,WIN,WIN,WIN,LOSS-WIN-WIN-WIN,4,VERY_LOW,AVAILABLE,0.0244,2.439,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,WIN,LOSS,LOSS-WIN-WIN-LOSS,6,VERY_LOW,AVAILABLE,0.0366,3.6585,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
LOSS,WIN,WIN,TIE,LOSS-WIN-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,WIN,LOSS,WIN,LOSS-WIN-LOSS-WIN,3,VERY_LOW,AVAILABLE,0.0183,1.8293,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
LOSS,WIN,LOSS,LOSS,LOSS-WIN-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,WIN,LOSS,TIE,LOSS-WIN-LOSS-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,WIN,TIE,WIN,LOSS-WIN-TIE-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,WIN,TIE,LOSS,LOSS-WIN-TIE-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,1,1,1,0.3333,0.3333,0.3333,33.3333,33.3333,33.3333,3.0,200.0,2.0,100.0,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
LOSS,WIN,TIE,TIE,LOSS-WIN-TIE-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,8,VERY_LOW,AVAILABLE,0.0488,4.878,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,4,4,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
LOSS,LOSS,WIN,LOSS,LOSS-LOSS-WIN-LOSS,4,VERY_LOW,AVAILABLE,0.0244,2.439,0,4,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,4,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,WIN,TIE,LOSS-LOSS-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,LOSS,WIN,LOSS-LOSS-LOSS-WIN,5,VERY_LOW,AVAILABLE,0.0305,3.0488,0,5,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,5,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,LOSS,LOSS,LOSS-LOSS-LOSS-LOSS,4,VERY_LOW,AVAILABLE,0.0244,2.439,0,4,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,4,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,LOSS,TIE,LOSS-LOSS-LOSS-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,TIE,WIN,LOSS-LOSS-TIE-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
LOSS,LOSS,TIE,LOSS,LOSS-LOSS-TIE-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,LOSS,TIE,TIE,LOSS-LOSS-TIE-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,TIE,WIN,WIN,LOSS-TIE-WIN-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
LOSS,TIE,WIN,LOSS,LOSS-TIE-WIN-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,TIE,WIN,TIE,LOSS-TIE-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
LOSS,TIE,LOSS,WIN,LOSS-TIE-LOSS-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
LOSS,TIE,LOSS,LOSS,LOSS-TIE-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,TIE,LOSS,TIE,LOSS-TIE-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
LOSS,TIE,TIE,WIN,LOSS-TIE-TIE-WIN,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,TIE,TIE,LOSS,LOSS-TIE-TIE-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
LOSS,TIE,TIE,TIE,LOSS-TIE-TIE-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,WIN,WIN,WIN,TIE-WIN-WIN-WIN,4,VERY_LOW,AVAILABLE,0.0244,2.439,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,WIN,WIN,LOSS,TIE-WIN-WIN-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,WIN,WIN,TIE,TIE-WIN-WIN-TIE,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,WIN,LOSS,WIN,TIE-WIN-LOSS-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,WIN,LOSS,LOSS,TIE-WIN-LOSS-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
TIE,WIN,LOSS,TIE,TIE-WIN-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,WIN,TIE,WIN,TIE-WIN-TIE-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,WIN,TIE,LOSS,TIE-WIN-TIE-LOSS,2,VERY_LOW,AVAILABLE,0.0122,1.2195,0,1,1,0.0,0.5,0.5,0.0,50.0,50.0,,,,,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
TIE,WIN,TIE,TIE,TIE-WIN-TIE-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,LOSS,WIN,WIN,TIE-LOSS-WIN-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,LOSS,WIN,LOSS,TIE-LOSS-WIN-LOSS,3,VERY_LOW,AVAILABLE,0.0183,1.8293,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
TIE,LOSS,WIN,TIE,TIE-LOSS-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,LOSS,LOSS,WIN,TIE-LOSS-LOSS-WIN,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,LOSS,LOSS,LOSS,TIE-LOSS-LOSS-LOSS,2,VERY_LOW,AVAILABLE,0.0122,1.2195,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,LOSS,LOSS,TIE,TIE-LOSS-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,LOSS,TIE,WIN,TIE-LOSS-TIE-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,LOSS,TIE,LOSS,TIE-LOSS-TIE-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,LOSS,TIE,TIE,TIE-LOSS-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,TIE,WIN,WIN,TIE-TIE-WIN-WIN,2,VERY_LOW,AVAILABLE,0.0122,1.2195,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,TIE,WIN,LOSS,TIE-TIE-WIN-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,TIE,WIN,TIE,TIE-TIE-WIN-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,TIE,LOSS,WIN,TIE-TIE-LOSS-WIN,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,TIE,LOSS,LOSS,TIE-TIE-LOSS-LOSS,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,TIE,LOSS,TIE,TIE-TIE-LOSS-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
TIE,TIE,TIE,WIN,TIE-TIE-TIE-WIN,1,VERY_LOW,AVAILABLE,0.0061,0.6098,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
TIE,TIE,TIE,LOSS,TIE-TIE-TIE-LOSS,1,VERY_LOW,AVAILABLE,0.0061,0.6098,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
TIE,TIE,TIE,TIE,TIE-TIE-TIE-TIE,0,NO_DATA,NOT_OBSERVED,0.0,0.0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
