completed_quarters,completed_path,margin_bucket,sample_size,sample_quality,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
1,WIN,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
1,WIN,LEAD_1_3,12,VERY_LOW,6,6,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
1,WIN,LEAD_4_7,42,LOW,38,4,0,0.9048,0.0952,0.0,90.4762,9.5238,0.0,1.1053,-950.0,1.1053,-950.0
1,WIN,LEAD_8_14,17,VERY_LOW,16,1,0,0.9412,0.0588,0.0,94.1176,5.8824,0.0,1.0625,-1600.0,1.0625,-1600.0
1,LOSS,TRAIL_1_3,19,VERY_LOW,9,10,0,0.4737,0.5263,0.0,47.3684,52.6316,0.0,2.1111,111.11,2.1111,111.11
1,LOSS,TRAIL_4_7,30,LOW,10,20,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
1,LOSS,TRAIL_8_14,10,VERY_LOW,2,8,0,0.2,0.8,0.0,20.0,80.0,0.0,5.0,400.0,5.0,400.0
1,TIE,TIE,33,LOW,23,10,0,0.697,0.303,0.0,69.697,30.303,0.0,1.4348,-230.0,1.4348,-230.0
2,WIN-WIN,LEAD_15_PLUS,16,VERY_LOW,16,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-WIN,LEAD_4_7,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
2,WIN-WIN,LEAD_8_14,22,LOW,19,3,0,0.8636,0.1364,0.0,86.3636,13.6364,0.0,1.1579,-633.33,1.1579,-633.33
2,WIN-LOSS,LEAD_1_3,5,VERY_LOW,5,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,LEAD_4_7,4,VERY_LOW,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0
2,WIN-LOSS,TIE,5,VERY_LOW,4,1,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0
2,WIN-LOSS,TRAIL_1_3,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,TRAIL_4_7,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
2,WIN-LOSS,TRAIL_8_14,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,WIN-TIE,LEAD_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,WIN-TIE,LEAD_4_7,6,VERY_LOW,5,1,0,0.8333,0.1667,0.0,83.3333,16.6667,0.0,1.2,-500.0,1.2,-500.0
2,WIN-TIE,LEAD_8_14,3,VERY_LOW,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,LOSS-WIN,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,LOSS-WIN,LEAD_1_3,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,LOSS-WIN,LEAD_4_7,4,VERY_LOW,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
