completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
0,START,Q1,WIN,72,164,STRONG,AVAILABLE,0.439,43.9024,72,59,33,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,72.0,59.0,33.0,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,105,59,0,0.6402,0.3598,0.0,64.0244,35.9756,0.0,1.5619,-177.97,1.5619,-177.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,START,Q1,LOSS,59,164,STRONG,AVAILABLE,0.3598,35.9756,72,59,33,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,72.0,59.0,33.0,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,105,59,0,0.6402,0.3598,0.0,64.0244,35.9756,0.0,1.5619,-177.97,1.5619,-177.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,START,Q1,TIE,33,164,STRONG,AVAILABLE,0.2012,20.122,72,59,33,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,72.0,59.0,33.0,0.439,0.3598,0.2012,43.9024,35.9756,20.122,2.2778,127.78,1.8194,-122.03,105,59,0,0.6402,0.3598,0.0,64.0244,35.9756,0.0,1.5619,-177.97,1.5619,-177.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,WIN,41,72,MODERATE,AVAILABLE,0.5694,56.9444,41,21,10,0.5694,0.2917,0.1389,56.9444,29.1667,13.8889,1.7561,-132.26,1.5122,-195.24,,,,,,,,,,,,,,61,11,0,0.8472,0.1528,0.0,84.7222,15.2778,0.0,1.1803,-554.55,1.1803,-554.55,60.0,7.0,5.0,0.8333,0.0972,0.0694,83.3333,9.7222,6.9444,1.2,-500.0,1.1167,-857.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,LOSS,21,72,MODERATE,AVAILABLE,0.2917,29.1667,41,21,10,0.5694,0.2917,0.1389,56.9444,29.1667,13.8889,1.7561,-132.26,1.5122,-195.24,,,,,,,,,,,,,,61,11,0,0.8472,0.1528,0.0,84.7222,15.2778,0.0,1.1803,-554.55,1.1803,-554.55,60.0,7.0,5.0,0.8333,0.0972,0.0694,83.3333,9.7222,6.9444,1.2,-500.0,1.1167,-857.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,TIE,10,72,MODERATE,AVAILABLE,0.1389,13.8889,41,21,10,0.5694,0.2917,0.1389,56.9444,29.1667,13.8889,1.7561,-132.26,1.5122,-195.24,,,,,,,,,,,,,,61,11,0,0.8472,0.1528,0.0,84.7222,15.2778,0.0,1.1803,-554.55,1.1803,-554.55,60.0,7.0,5.0,0.8333,0.0972,0.0694,83.3333,9.7222,6.9444,1.2,-500.0,1.1167,-857.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,WIN,21,59,MODERATE,AVAILABLE,0.3559,35.5932,21,29,9,0.3559,0.4915,0.1525,35.5932,49.1525,15.2542,2.8095,180.95,2.381,138.1,,,,,,,,,,,,,,21,38,0,0.3559,0.6441,0.0,35.5932,64.4068,0.0,2.8095,180.95,2.8095,180.95,10.0,46.0,3.0,0.1695,0.7797,0.0508,16.9492,77.9661,5.0847,5.9,490.0,5.6,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,LOSS,29,59,MODERATE,AVAILABLE,0.4915,49.1525,21,29,9,0.3559,0.4915,0.1525,35.5932,49.1525,15.2542,2.8095,180.95,2.381,138.1,,,,,,,,,,,,,,21,38,0,0.3559,0.6441,0.0,35.5932,64.4068,0.0,2.8095,180.95,2.8095,180.95,10.0,46.0,3.0,0.1695,0.7797,0.0508,16.9492,77.9661,5.0847,5.9,490.0,5.6,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,TIE,9,59,MODERATE,AVAILABLE,0.1525,15.2542,21,29,9,0.3559,0.4915,0.1525,35.5932,49.1525,15.2542,2.8095,180.95,2.381,138.1,,,,,,,,,,,,,,21,38,0,0.3559,0.6441,0.0,35.5932,64.4068,0.0,2.8095,180.95,2.8095,180.95,10.0,46.0,3.0,0.1695,0.7797,0.0508,16.9492,77.9661,5.0847,5.9,490.0,5.6,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TIE,Q2,WIN,17,33,LOW,AVAILABLE,0.5152,51.5152,17,11,5,0.5152,0.3333,0.1515,51.5152,33.3333,15.1515,1.9412,-106.25,1.6471,-154.55,,,,,,,,,,,,,,23,10,0,0.697,0.303,0.0,69.697,30.303,0.0,1.4348,-230.0,1.4348,-230.0,17.0,11.0,5.0,0.5152,0.3333,0.1515,51.5152,33.3333,15.1515,1.9412,-106.25,1.6471,-154.55,,,,,,,,,,,,,,,,,,,,,,,,,,
