q1_result,q2_result,q3_result,q4_result,completed_path,sample_size,sample_quality,data_status,path_frequency,path_frequency_pct,regulation_win_count,regulation_loss_count,regulation_tie_count,regulation_win_probability,regulation_loss_probability,regulation_tie_probability,regulation_win_pct,regulation_loss_pct,regulation_tie_pct,regulation_fair_decimal_tie_is_loss,regulation_fair_american_tie_is_loss,regulation_fair_decimal_tie_is_push,regulation_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
WIN,WIN,WIN,WIN,WIN-WIN-WIN-WIN,4,VERY_LOW,AVAILABLE,0.0242,2.4242,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,WIN,LOSS,WIN-WIN-WIN-LOSS,5,VERY_LOW,AVAILABLE,0.0303,3.0303,4,1,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0,4,1,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0
WIN,WIN,WIN,TIE,WIN-WIN-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6061,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,10,VERY_LOW,AVAILABLE,0.0606,6.0606,10,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,10,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,LOSS,LOSS,WIN-WIN-LOSS-LOSS,5,VERY_LOW,AVAILABLE,0.0303,3.0303,3,2,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0,3,2,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0
WIN,WIN,LOSS,TIE,WIN-WIN-LOSS-TIE,2,VERY_LOW,AVAILABLE,0.0121,1.2121,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
WIN,WIN,TIE,WIN,WIN-WIN-TIE-WIN,2,VERY_LOW,AVAILABLE,0.0121,1.2121,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,LOSS,WIN-WIN-TIE-LOSS,3,VERY_LOW,AVAILABLE,0.0182,1.8182,2,0,1,0.6667,0.0,0.3333,66.6667,0.0,33.3333,1.5,-200.0,1.0,,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,WIN,TIE,TIE,WIN-WIN-TIE-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6061,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,WIN,WIN,WIN-LOSS-WIN-WIN,2,VERY_LOW,AVAILABLE,0.0121,1.2121,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,4,VERY_LOW,AVAILABLE,0.0242,2.4242,1,2,1,0.25,0.5,0.25,25.0,50.0,25.0,4.0,300.0,3.0,200.0,1,3,0,0.25,0.75,0.0,25.0,75.0,0.0,4.0,300.0,4.0,300.0
WIN,LOSS,WIN,TIE,WIN-LOSS-WIN-TIE,1,VERY_LOW,AVAILABLE,0.0061,0.6061,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
WIN,LOSS,LOSS,WIN,WIN-LOSS-LOSS-WIN,1,VERY_LOW,AVAILABLE,0.0061,0.6061,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
WIN,LOSS,LOSS,LOSS,WIN-LOSS-LOSS-LOSS,6,VERY_LOW,AVAILABLE,0.0364,3.6364,1,5,0,0.1667,0.8333,0.0,16.6667,83.3333,0.0,6.0,500.0,6.0,500.0,1,5,0,0.1667,0.8333,0.0,16.6667,83.3333,0.0,6.0,500.0,6.0,500.0
WIN,LOSS,LOSS,TIE,WIN-LOSS-LOSS-TIE,2,VERY_LOW,AVAILABLE,0.0121,1.2121,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
