completed_quarters,completed_path,margin_bucket,sample_size,sample_quality,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
1,WIN,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
1,WIN,LEAD_1_3,25,LOW,13,12,0,0.52,0.48,0.0,52.0,48.0,0.0,1.9231,-108.33,1.9231,-108.33
1,WIN,LEAD_4_7,22,LOW,15,7,0,0.6818,0.3182,0.0,68.1818,31.8182,0.0,1.4667,-214.29,1.4667,-214.29
1,WIN,LEAD_8_14,13,VERY_LOW,12,1,0,0.9231,0.0769,0.0,92.3077,7.6923,0.0,1.0833,-1200.0,1.0833,-1200.0
1,LOSS,TRAIL_1_3,22,LOW,9,12,1,0.4091,0.5455,0.0455,40.9091,54.5455,4.5455,2.4444,144.44,2.3333,133.33
1,LOSS,TRAIL_4_7,35,LOW,7,28,0,0.2,0.8,0.0,20.0,80.0,0.0,5.0,400.0,5.0,400.0
1,LOSS,TRAIL_8_14,13,VERY_LOW,2,11,0,0.1538,0.8462,0.0,15.3846,84.6154,0.0,6.5,550.0,6.5,550.0
1,TIE,TIE,34,LOW,18,16,0,0.5294,0.4706,0.0,52.9412,47.0588,0.0,1.8889,-112.5,1.8889,-112.5
2,WIN-WIN,LEAD_15_PLUS,9,VERY_LOW,8,1,0,0.8889,0.1111,0.0,88.8889,11.1111,0.0,1.125,-800.0,1.125,-800.0
2,WIN-WIN,LEAD_4_7,11,VERY_LOW,8,3,0,0.7273,0.2727,0.0,72.7273,27.2727,0.0,1.375,-266.67,1.375,-266.67
2,WIN-WIN,LEAD_8_14,13,VERY_LOW,13,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,LEAD_1_3,3,VERY_LOW,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
2,WIN-LOSS,LEAD_4_7,4,VERY_LOW,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,LEAD_8_14,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,WIN-LOSS,TIE,3,VERY_LOW,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
2,WIN-LOSS,TRAIL_1_3,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,WIN-LOSS,TRAIL_4_7,3,VERY_LOW,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
