completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
0,START,Q1,WIN,61,165,STRONG,AVAILABLE,0.3697,36.9697,61,70,34,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,61.0,70.0,34.0,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,77,87,1,0.4667,0.5273,0.0061,46.6667,52.7273,0.6061,2.1429,114.29,2.1299,112.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,START,Q1,LOSS,70,165,STRONG,AVAILABLE,0.4242,42.4242,61,70,34,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,61.0,70.0,34.0,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,77,87,1,0.4667,0.5273,0.0061,46.6667,52.7273,0.6061,2.1429,114.29,2.1299,112.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,START,Q1,TIE,34,165,STRONG,AVAILABLE,0.2061,20.6061,61,70,34,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,61.0,70.0,34.0,0.3697,0.4242,0.2061,36.9697,42.4242,20.6061,2.7049,170.49,2.1475,114.75,77,87,1,0.4667,0.5273,0.0061,46.6667,52.7273,0.6061,2.1429,114.29,2.1299,112.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,WIN,33,61,MODERATE,AVAILABLE,0.541,54.0984,33,22,6,0.541,0.3607,0.0984,54.0984,36.0656,9.8361,1.8485,-117.86,1.6667,-150.0,,,,,,,,,,,,,,41,20,0,0.6721,0.3279,0.0,67.2131,32.7869,0.0,1.4878,-205.0,1.4878,-205.0,49.0,9.0,3.0,0.8033,0.1475,0.0492,80.3279,14.7541,4.918,1.2449,-408.33,1.1837,-544.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,LOSS,22,61,MODERATE,AVAILABLE,0.3607,36.0656,33,22,6,0.541,0.3607,0.0984,54.0984,36.0656,9.8361,1.8485,-117.86,1.6667,-150.0,,,,,,,,,,,,,,41,20,0,0.6721,0.3279,0.0,67.2131,32.7869,0.0,1.4878,-205.0,1.4878,-205.0,49.0,9.0,3.0,0.8033,0.1475,0.0492,80.3279,14.7541,4.918,1.2449,-408.33,1.1837,-544.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WIN,Q2,TIE,6,61,MODERATE,AVAILABLE,0.0984,9.8361,33,22,6,0.541,0.3607,0.0984,54.0984,36.0656,9.8361,1.8485,-117.86,1.6667,-150.0,,,,,,,,,,,,,,41,20,0,0.6721,0.3279,0.0,67.2131,32.7869,0.0,1.4878,-205.0,1.4878,-205.0,49.0,9.0,3.0,0.8033,0.1475,0.0492,80.3279,14.7541,4.918,1.2449,-408.33,1.1837,-544.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,WIN,30,70,MODERATE,AVAILABLE,0.4286,42.8571,30,31,9,0.4286,0.4429,0.1286,42.8571,44.2857,12.8571,2.3333,133.33,2.0333,103.33,,,,,,,,,,,,,,18,51,1,0.2571,0.7286,0.0143,25.7143,72.8571,1.4286,3.8889,288.89,3.8333,283.33,15.0,52.0,3.0,0.2143,0.7429,0.0429,21.4286,74.2857,4.2857,4.6667,366.67,4.4667,346.67,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,LOSS,31,70,MODERATE,AVAILABLE,0.4429,44.2857,30,31,9,0.4286,0.4429,0.1286,42.8571,44.2857,12.8571,2.3333,133.33,2.0333,103.33,,,,,,,,,,,,,,18,51,1,0.2571,0.7286,0.0143,25.7143,72.8571,1.4286,3.8889,288.89,3.8333,283.33,15.0,52.0,3.0,0.2143,0.7429,0.0429,21.4286,74.2857,4.2857,4.6667,366.67,4.4667,346.67,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOSS,Q2,TIE,9,70,MODERATE,AVAILABLE,0.1286,12.8571,30,31,9,0.4286,0.4429,0.1286,42.8571,44.2857,12.8571,2.3333,133.33,2.0333,103.33,,,,,,,,,,,,,,18,51,1,0.2571,0.7286,0.0143,25.7143,72.8571,1.4286,3.8889,288.89,3.8333,283.33,15.0,52.0,3.0,0.2143,0.7429,0.0429,21.4286,74.2857,4.2857,4.6667,366.67,4.4667,346.67,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TIE,Q2,WIN,16,34,LOW,AVAILABLE,0.4706,47.0588,16,12,6,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,18,16,0,0.5294,0.4706,0.0,52.9412,47.0588,0.0,1.8889,-112.5,1.8889,-112.5,16.0,12.0,6.0,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,,,,,,,,,,,,,
