game_id,season,week,season_phase,team,opponent,side,home_team,away_team,role,spread_line_away_perspective,spread_abs,spread_bucket,q1_result,q2_result,q3_result,q4_result,path4,q1_points_for,q1_points_against,q2_points_for,q2_points_against,q3_points_for,q3_points_against,q4_points_for,q4_points_against,ot_points_for,ot_points_against,after_q1_margin,after_q2_margin,after_q3_margin,after_q4_margin,after_q1_state,after_q2_state,after_q3_state,after_q4_regulation_state,after_q1_margin_bucket,after_q2_margin_bucket,after_q3_margin_bucket,after_q4_margin_bucket,final_margin,final_state,went_to_overtime
2016_01_CHI_HOU,2016,1,EARLY,HOU,CHI,home,HOU,CHI,FAVORITE,5.5,5.5,5-6,LOSS,WIN,WIN,WIN,LOSS-WIN-WIN-WIN,0.0,7.0,10.0,7.0,3.0,0.0,10.0,0.0,0.0,0.0,-7.0,-4.0,-1.0,9.0,LOSS,LOSS,LOSS,WIN,TRAIL_4_7,TRAIL_4_7,TRAIL_1_3,LEAD_8_14,9.0,WIN,False
2016_02_KC_HOU,2016,2,EARLY,HOU,KC,home,HOU,KC,UNDERDOG,-1.0,1.0,0.5-1.5,WIN,WIN,TIE,LOSS,WIN-WIN-TIE-LOSS,7.0,0.0,6.0,3.0,0.0,0.0,6.0,9.0,0.0,0.0,7.0,10.0,10.0,7.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_8_14,LEAD_8_14,LEAD_4_7,7.0,WIN,False
2016_03_HOU_NE,2016,3,EARLY,HOU,NE,away,NE,HOU,UNDERDOG,1.0,1.0,0.5-1.5,LOSS,TIE,LOSS,LOSS,LOSS-TIE-LOSS-LOSS,0.0,10.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,-10.0,-10.0,-20.0,-27.0,LOSS,LOSS,LOSS,LOSS,TRAIL_8_14,TRAIL_8_14,TRAIL_15_PLUS,TRAIL_15_PLUS,-27.0,LOSS,False
2016_04_TEN_HOU,2016,4,EARLY,HOU,TEN,home,HOU,TEN,FAVORITE,4.0,4.0,3.5-4.5,WIN,LOSS,WIN,TIE,WIN-LOSS-WIN-TIE,14.0,3.0,6.0,14.0,7.0,3.0,0.0,0.0,0.0,0.0,11.0,3.0,7.0,7.0,WIN,WIN,WIN,WIN,LEAD_8_14,LEAD_1_3,LEAD_4_7,LEAD_4_7,7.0,WIN,False
2016_05_HOU_MIN,2016,5,EARLY,HOU,MIN,away,MIN,HOU,UNDERDOG,6.0,6.0,5-6,LOSS,LOSS,TIE,TIE,LOSS-LOSS-TIE-TIE,0.0,14.0,6.0,10.0,0.0,0.0,7.0,7.0,0.0,0.0,-14.0,-18.0,-18.0,-18.0,LOSS,LOSS,LOSS,LOSS,TRAIL_8_14,TRAIL_15_PLUS,TRAIL_15_PLUS,TRAIL_15_PLUS,-18.0,LOSS,False
2016_06_IND_HOU,2016,6,MIDDLE,HOU,IND,home,HOU,IND,FAVORITE,3.0,3.0,2-3,LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,0.0,3.0,3.0,10.0,6.0,0.0,14.0,10.0,3.0,0.0,-3.0,-10.0,-4.0,0.0,LOSS,LOSS,LOSS,TIE,TRAIL_1_3,TRAIL_8_14,TRAIL_4_7,TIE,3.0,WIN,True
2016_07_HOU_DEN,2016,7,MIDDLE,HOU,DEN,away,DEN,HOU,UNDERDOG,8.5,8.5,7.5-9.5,WIN,LOSS,LOSS,LOSS,WIN-LOSS-LOSS-LOSS,6.0,0.0,0.0,14.0,3.0,7.0,0.0,6.0,0.0,0.0,6.0,-8.0,-12.0,-18.0,WIN,LOSS,LOSS,LOSS,LEAD_4_7,TRAIL_8_14,TRAIL_8_14,TRAIL_15_PLUS,-18.0,LOSS,False
2016_08_DET_HOU,2016,8,MIDDLE,HOU,DET,home,HOU,DET,FAVORITE,1.0,1.0,0.5-1.5,TIE,WIN,WIN,LOSS,TIE-WIN-WIN-LOSS,0.0,0.0,14.0,3.0,3.0,0.0,3.0,10.0,0.0,0.0,0.0,11.0,14.0,7.0,TIE,WIN,WIN,WIN,TIE,LEAD_8_14,LEAD_8_14,LEAD_4_7,7.0,WIN,False
2016_10_HOU_JAX,2016,10,MIDDLE,HOU,JAX,away,JAX,HOU,UNDERDOG,3.0,3.0,2-3,WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,14.0,7.0,0.0,3.0,7.0,0.0,3.0,11.0,0.0,0.0,7.0,4.0,11.0,3.0,WIN,WIN,WIN,WIN,LEAD_4_7,LEAD_4_7,LEAD_8_14,LEAD_1_3,3.0,WIN,False
2016_11_HOU_OAK,2016,11,MIDDLE,HOU,LV,away,LV,HOU,UNDERDOG,6.5,6.5,6.5-7,WIN,LOSS,WIN,LOSS,WIN-LOSS-WIN-LOSS,3.0,0.0,7.0,10.0,7.0,3.0,3.0,14.0,0.0,0.0,3.0,0.0,4.0,-7.0,WIN,TIE,WIN,LOSS,LEAD_1_3,TIE,LEAD_4_7,TRAIL_4_7,-7.0,LOSS,False
