game_id,season,week,gameday,team,opponent,side,q1_score_team,q1_score_opponent,q2_points_team,q2_points_opponent,halftime_team,halftime_opponent,q1_result,q2_result,cumulative_state_path,margin,margin_bucket,source_spread_line_away_perspective,team_spread,role,final_state,schedule_final_team,schedule_final_opponent,overtime
2015_07_BUF_JAX,2015,7,2015-10-25,BUF,JAX,away,3,0,10,27,13,27,WIN,LOSS,LEAD-TRAIL,-14,TRAILING_8_TO_14,-3.5,-3.5,FAVORITE,LOSS,31,34,False
2015_08_SF_STL,2015,8,2015-11-01,SF,STL,away,3,2,3,18,6,20,WIN,LOSS,LEAD-TRAIL,-14,TRAILING_8_TO_14,8.0,8.0,UNDERDOG,LOSS,6,27,False
2015_10_BUF_NYJ,2015,10,2015-11-12,NYJ,BUF,home,3,0,0,12,3,12,WIN,LOSS,LEAD-TRAIL,-9,TRAILING_8_TO_14,2.5,-2.5,FAVORITE,LOSS,17,22,False
2015_12_SD_JAX,2015,12,2015-11-29,JAX,SD,home,6,0,3,21,9,21,WIN,LOSS,LEAD-TRAIL,-12,TRAILING_8_TO_14,5.0,-5.0,FAVORITE,LOSS,25,31,False
2015_13_NYJ_NYG,2015,13,2015-12-06,NYJ,NYG,away,3,0,7,20,10,20,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,-2.0,-2.0,FAVORITE,WIN,23,20,True
2016_01_PIT_WAS,2016,1,2016-09-12,WAS,PIT,home,6,0,0,14,6,14,WIN,LOSS,LEAD-TRAIL,-8,TRAILING_8_TO_14,-2.5,2.5,UNDERDOG,LOSS,16,38,False
2016_02_NYJ_BUF,2016,2,2016-09-15,BUF,NYJ,home,7,6,3,14,10,20,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,1.5,-1.5,FAVORITE,LOSS,31,37,False
2016_06_PIT_MIA,2016,6,2016-10-16,PIT,MIA,away,8,3,0,13,8,16,WIN,LOSS,LEAD-TRAIL,-8,TRAILING_8_TO_14,-7.5,-7.5,FAVORITE,LOSS,15,30,False
2016_07_HOU_DEN,2016,7,2016-10-24,HOU,DEN,away,6,0,0,14,6,14,WIN,LOSS,LEAD-TRAIL,-8,TRAILING_8_TO_14,8.5,8.5,UNDERDOG,LOSS,9,27,False
2016_07_SD_ATL,2016,7,2016-10-23,SD,ATL,away,7,6,10,21,17,27,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,4.5,4.5,UNDERDOG,WIN,33,30,True
2016_09_BUF_SEA,2016,9,2016-11-07,BUF,SEA,away,14,7,3,21,17,28,WIN,LOSS,LEAD-TRAIL,-11,TRAILING_8_TO_14,5.5,5.5,UNDERDOG,LOSS,25,31,False
2016_14_OAK_KC,2016,14,2016-12-08,OAK,KC,away,3,0,7,21,10,21,WIN,LOSS,LEAD-TRAIL,-11,TRAILING_8_TO_14,3.5,3.5,UNDERDOG,LOSS,13,21,False
2016_15_TB_DAL,2016,15,2016-12-18,TB,DAL,away,3,0,3,17,6,17,WIN,LOSS,LEAD-TRAIL,-11,TRAILING_8_TO_14,7.0,7.0,UNDERDOG,LOSS,20,26,False
2017_08_LAC_NE,2017,8,2017-10-29,LAC,NE,away,7,0,0,15,7,15,WIN,LOSS,LEAD-TRAIL,-8,TRAILING_8_TO_14,6.5,6.5,UNDERDOG,LOSS,13,21,False
2017_10_MIN_WAS,2017,10,2017-11-12,WAS,MIN,home,10,7,7,21,17,28,WIN,LOSS,LEAD-TRAIL,-11,TRAILING_8_TO_14,-1.0,1.0,UNDERDOG,LOSS,30,38,False
2017_11_TB_MIA,2017,11,2017-11-19,MIA,TB,home,7,3,0,17,7,20,WIN,LOSS,LEAD-TRAIL,-13,TRAILING_8_TO_14,-1.0,1.0,UNDERDOG,LOSS,20,30,False
2018_05_DEN_NYJ,2018,5,2018-10-07,DEN,NYJ,away,7,0,3,21,10,21,WIN,LOSS,LEAD-TRAIL,-11,TRAILING_8_TO_14,-1.0,-1.0,FAVORITE,LOSS,16,34,False
2018_08_CLE_PIT,2018,8,2018-10-28,CLE,PIT,away,6,0,0,14,6,14,WIN,LOSS,LEAD-TRAIL,-8,TRAILING_8_TO_14,8.5,8.5,UNDERDOG,LOSS,18,33,False
2018_08_SEA_DET,2018,8,2018-10-28,DET,SEA,home,7,0,0,21,7,21,WIN,LOSS,LEAD-TRAIL,-14,TRAILING_8_TO_14,3.0,-3.0,FAVORITE,LOSS,14,28,False
2018_09_LAC_SEA,2018,9,2018-11-04,SEA,LAC,home,7,6,3,13,10,19,WIN,LOSS,LEAD-TRAIL,-9,TRAILING_8_TO_14,1.0,-1.0,FAVORITE,LOSS,17,25,False
2018_12_TEN_HOU,2018,12,2018-11-26,TEN,HOU,away,10,7,0,17,10,24,WIN,LOSS,LEAD-TRAIL,-14,TRAILING_8_TO_14,3.5,3.5,UNDERDOG,LOSS,17,34,False
2018_14_IND_HOU,2018,14,2018-12-09,HOU,IND,home,7,0,0,17,7,17,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,4.0,-4.0,FAVORITE,LOSS,21,24,False
2019_03_DET_PHI,2019,3,2019-09-22,PHI,DET,home,10,7,0,13,10,20,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,4.0,-4.0,FAVORITE,LOSS,24,27,False
2019_06_ATL_ARI,2019,6,2019-10-13,ATL,ARI,away,7,3,3,17,10,20,WIN,LOSS,LEAD-TRAIL,-10,TRAILING_8_TO_14,-3.0,-3.0,FAVORITE,LOSS,33,34,False
