binary_path_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,301,276,0.9169435215946844,-1104.0000000000002,295,0.9800664451827242,12.880398671096346,0.9541483521461487,OK
Q1_NOT_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,137,113,0.8248175182481752,-470.8333333333333,127,0.927007299270073,10.197080291970803,0.9184930324554443,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,112,80,0.7142857142857143,-250.00000000000003,100,0.8928571428571429,3.7589285714285716,0.749278724193573,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,88,48,0.5454545454545454,-119.99999999999997,68,0.7727272727272727,0.8068181818181818,0.6213310360908508,OK
Q1_NOT_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,83,43,0.5180722891566265,-107.5,66,0.7951807228915663,1.108433734939759,0.7573306560516357,OK
Q1_NOT_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_4-7,67,46,0.6865671641791045,-219.04761904761904,58,0.8656716417910447,3.656716417910448,0.7086058855056763,OK
Q1_NOT_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,66,38,0.5757575757575758,-135.71428571428572,50,0.7575757575757576,1.1666666666666667,0.6138898730278015,OK
Q1_NOT_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_1-3,54,28,0.5185185185185185,-107.69230769230768,42,0.7777777777777778,-0.16666666666666666,0.5732657313346863,OK
Q1_NOT_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_8+,29,24,0.8275862068965517,-480.0,28,0.9655172413793104,6.0344827586206895,0.870003342628479,SAMPLE_TOO_SMALL
Q1_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_1-3,29,11,0.3793103448275862,163.63636363636365,21,0.7241379310344828,-1.5172413793103448,0.6048629283905029,SAMPLE_TOO_SMALL
Q1_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_4-7,19,14,0.7368421052631579,-279.99999999999994,16,0.8421052631578947,4.631578947368421,0.7350225448608398,SAMPLE_TOO_SMALL
Q1_WIN__Q2_NOT_WIN__Q3_WIN__Q3_LEAD_8+,2,1,0.5,-100.0,2,1.0,5.0,0.844785749912262,SAMPLE_TOO_SMALL
