delta_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1Q2_IMPROVED_8_PLUS__Q2Q3_IMPROVED_4_7__Q3_LEAD_8+,41,40,0.975609756097561,-3999.9999999999964,41,1.0,16.585365853658537,0.985202431678772,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_FLAT__Q3_LEAD_8+,40,34,0.85,-566.6666666666666,36,0.9,11.0,0.9441573917865753,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_IMPROVED_1_3__Q3_LEAD_8+,40,33,0.825,-471.42857142857133,38,0.95,13.6,0.9683822393417358,OK
Q1Q2_IMPROVED_4_7__Q2Q3_IMPROVED_4_7__Q3_LEAD_8+,36,30,0.8333333333333334,-500.00000000000017,34,0.9444444444444444,11.972222222222221,0.9338974058628082,OK
Q1Q2_IMPROVED_4_7__Q2Q3_FLAT__Q3_LEAD_8+,27,27,1.0,,27,1.0,13.25925925925926,0.9275179505348206,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_4_7__Q2Q3_IMPROVED_8_PLUS__Q3_LEAD_8+,26,24,0.9230769230769231,-1200.0000000000007,26,1.0,15.538461538461538,0.9746157824993134,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_8_PLUS__Q2Q3_WORSE_1_3__Q3_LEAD_8+,22,21,0.9545454545454546,-2100.000000000002,22,1.0,12.363636363636363,0.9355707168579102,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_8_PLUS__Q2Q3_IMPROVED_8_PLUS__Q3_LEAD_8+,21,20,0.9523809523809523,-1999.9999999999975,21,1.0,18.19047619047619,0.9774962663650513,SAMPLE_TOO_SMALL
Q1Q2_FLAT__Q2Q3_IMPROVED_4_7__Q3_LEAD_8+,21,17,0.8095238095238095,-425.0,20,0.9523809523809523,10.714285714285714,0.9223722815513611,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_4_7__Q2Q3_FLAT__Q3_LEAD_4-7,21,10,0.47619047619047616,110.00000000000001,16,0.7619047619047619,-0.7142857142857143,0.7193014025688171,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_1_3__Q2Q3_IMPROVED_4_7__Q3_LEAD_8+,20,18,0.9,-900.0000000000002,20,1.0,11.65,0.9415283501148224,SAMPLE_TOO_SMALL
Q1Q2_FLAT__Q2Q3_IMPROVED_8_PLUS__Q3_LEAD_8+,18,16,0.8888888888888888,-799.9999999999997,16,0.8888888888888888,7.444444444444445,0.9134329855442047,SAMPLE_TOO_SMALL
Q1Q2_IMPROVED_4_7__Q2Q3_IMPROVED_1_3__Q3_LEAD_8+,18,16,0.8888888888888888,-799.9999999999997,17,0.9444444444444444,8.944444444444445,0.8638303577899933,SAMPLE_TOO_SMALL
