delta_trajectory,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1Q2_WORSE_8_PLUS__Q2Q3_WORSE_4_7,130,5,0.038461538461538464,2500.0,14,0.1076923076923077,-20.70769230769231,0.01122278394177556,OK
Q1Q2_WORSE_4_7__Q2Q3_WORSE_4_7,120,4,0.03333333333333333,2900.0,27,0.225,-13.116666666666667,0.07118989154696465,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_FLAT,110,9,0.08181818181818182,1122.2222222222224,23,0.20909090909090908,-13.745454545454546,0.059710584580898285,OK
Q1Q2_WORSE_4_7__Q2Q3_FLAT,109,22,0.2018348623853211,395.45454545454544,42,0.3853211009174312,-7.63302752293578,0.17455480992794037,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_IMPROVED_4_7,93,14,0.15053763440860216,564.2857142857143,37,0.3978494623655914,-9.172043010752688,0.2090577930212021,OK
Q1Q2_WORSE_4_7__Q2Q3_IMPROVED_4_7,92,38,0.41304347826086957,142.10526315789474,49,0.532608695652174,-2.75,0.3403656631708145,OK
Q1Q2_FLAT__Q2Q3_FLAT,92,37,0.40217391304347827,148.64864864864865,50,0.5434782608695652,-1.684782608695652,0.3920489400625229,OK
Q1Q2_IMPROVED_4_7__Q2Q3_WORSE_4_7,90,33,0.36666666666666664,172.72727272727272,52,0.5777777777777777,-2.8666666666666667,0.4114369601011276,OK
Q1Q2_IMPROVED_4_7__Q2Q3_FLAT,87,51,0.5862068965517241,-141.66666666666663,67,0.7701149425287356,2.7011494252873565,0.6729586124420166,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_WORSE_8_PLUS,84,1,0.011904761904761904,8300.0,4,0.047619047619047616,-25.773809523809526,0.0004310126241762191,OK
Q1Q2_WORSE_4_7__Q2Q3_WORSE_1_3,81,7,0.08641975308641975,1057.142857142857,24,0.2962962962962963,-10.074074074074074,0.14866606891155243,OK
Q1Q2_WORSE_1_3__Q2Q3_WORSE_4_7,77,8,0.1038961038961039,862.4999999999999,21,0.2727272727272727,-10.896103896103897,0.12377087771892548,OK
Q1Q2_FLAT__Q2Q3_WORSE_4_7,76,19,0.25,300.0,34,0.4473684210526316,-7.368421052631579,0.19366095960140228,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_WORSE_1_3,74,6,0.08108108108108109,1133.3333333333333,15,0.20270270270270271,-15.743243243243244,0.026806351728737354,OK
Q1Q2_WORSE_4_7__Q2Q3_WORSE_8_PLUS,69,2,0.028985507246376812,3349.9999999999995,5,0.07246376811594203,-19.681159420289855,0.012775063514709473,OK
Q1Q2_IMPROVED_1_3__Q2Q3_WORSE_4_7,66,23,0.3484848484848485,186.95652173913044,37,0.5606060606060606,-3.8181818181818183,0.2926658093929291,OK
Q1Q2_WORSE_4_7__Q2Q3_IMPROVED_1_3,66,17,0.25757575757575757,288.2352941176471,32,0.48484848484848486,-4.651515151515151,0.2613917291164398,OK
Q1Q2_WORSE_1_3__Q2Q3_FLAT,64,23,0.359375,178.2608695652174,35,0.546875,-5.21875,0.3433634340763092,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_WORSE_4_7,63,40,0.6349206349206349,-173.91304347826085,50,0.7936507936507936,1.5238095238095237,0.7431592345237732,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_IMPROVED_1_3,59,11,0.1864406779661017,436.36363636363643,22,0.3728813559322034,-10.64406779661017,0.09121090173721313,OK
Q1Q2_IMPROVED_4_7__Q2Q3_IMPROVED_4_7,58,42,0.7241379310344828,-262.5,49,0.8448275862068966,8.086206896551724,0.8596806824207306,OK
Q1Q2_IMPROVED_4_7__Q2Q3_WORSE_8_PLUS,58,9,0.15517241379310345,544.4444444444445,22,0.3793103448275862,-8.586206896551724,0.14903739839792252,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_FLAT,57,44,0.7719298245614035,-338.46153846153834,49,0.8596491228070176,7.807017543859649,0.8877816200256348,OK
Q1Q2_IMPROVED_4_7__Q2Q3_WORSE_1_3,56,30,0.5357142857142857,-115.38461538461537,45,0.8035714285714286,0.8928571428571429,0.6315279901027679,OK
Q1Q2_FLAT__Q2Q3_IMPROVED_4_7,54,28,0.5185185185185185,-107.69230769230768,42,0.7777777777777778,3.3333333333333335,0.6979958415031433,OK
Q1Q2_WORSE_1_3__Q2Q3_IMPROVED_1_3,52,15,0.28846153846153844,246.6666666666667,26,0.5,-3.2884615384615383,0.4072505831718445,OK
Q1Q2_WORSE_1_3__Q2Q3_IMPROVED_4_7,50,23,0.46,117.39130434782608,32,0.64,0.1,0.6150126159191132,OK
Q1Q2_WORSE_1_3__Q2Q3_WORSE_8_PLUS,48,3,0.0625,1500.0,7,0.14583333333333334,-14.9375,0.031235995702445507,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_IMPROVED_4_7,47,41,0.8723404255319149,-683.3333333333336,44,0.9361702127659575,13.638297872340425,0.9792800545692444,OK
Q1Q2_IMPROVED_1_3__Q2Q3_IMPROVED_4_7,47,33,0.7021276595744681,-235.71428571428572,41,0.8723404255319149,5.553191489361702,0.8233704566955566,OK
Q1Q2_IMPROVED_4_7__Q2Q3_IMPROVED_1_3,46,30,0.6521739130434783,-187.5,41,0.8913043478260869,4.521739130434782,0.7577440738677979,OK
Q1Q2_IMPROVED_1_3__Q2Q3_WORSE_1_3,46,18,0.391304347826087,155.55555555555557,28,0.6086956521739131,-1.3695652173913044,0.478936031460762,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_IMPROVED_1_3,45,36,0.8,-400.0000000000001,41,0.9111111111111111,12.088888888888889,0.9480994939804077,OK
Q1Q2_IMPROVED_1_3__Q2Q3_FLAT,45,17,0.37777777777777777,164.7058823529412,33,0.7333333333333333,-2.0,0.5205169916152954,OK
Q1Q2_FLAT__Q2Q3_WORSE_8_PLUS,45,7,0.15555555555555556,542.8571428571429,13,0.28888888888888886,-12.133333333333333,0.09696856886148453,OK
Q1Q2_FLAT__Q2Q3_IMPROVED_1_3,44,21,0.4772727272727273,109.52380952380952,32,0.7272727272727273,-0.2727272727272727,0.5725916028022766,OK
Q1Q2_IMPROVED_1_3__Q2Q3_WORSE_8_PLUS,44,4,0.09090909090909091,1000.0,12,0.2727272727272727,-11.181818181818182,0.1306232325732708,OK
Q1Q2_FLAT__Q2Q3_WORSE_1_3,43,12,0.27906976744186046,258.3333333333333,20,0.46511627906976744,-5.395348837209302,0.2854452431201935,OK
Q1Q2_IMPROVED_8_PLUS__Q2Q3_WORSE_1_3,41,28,0.6829268292682927,-215.38461538461544,30,0.7317073170731707,5.414634146341464,0.8109908699989319,OK
Q1Q2_WORSE_8_PLUS__Q2Q3_IMPROVED_8_PLUS,41,10,0.24390243902439024,310.0,21,0.5121951219512195,-6.0,0.18175733089447021,OK
