flow_margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,28,27,0.9642857142857143,-2700.0000000000014,28,1.0,15.75,0.9645596146583557,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,24,23,0.9583333333333334,-2300.0000000000023,24,1.0,8.375,0.8806678652763367,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,22,9,0.4090909090909091,144.4444444444444,17,0.7727272727272727,-0.09090909090909091,0.761669784784317,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,21,21,1.0,,21,1.0,23.523809523809526,0.999395489692688,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,20,17,0.85,-566.6666666666666,20,1.0,15.0,0.9644894003868103,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,18,11,0.6111111111111112,-157.14285714285717,16,0.8888888888888888,3.9444444444444446,0.8772497177124023,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,17,12,0.7058823529411765,-240.00000000000006,14,0.8235294117647058,3.823529411764706,0.7012962102890015,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,17,8,0.47058823529411764,112.50000000000001,13,0.7647058823529411,-0.5294117647058824,0.6305723786354065,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,15,12,0.8,-400.0000000000001,12,0.8,8.2,0.9619596004486084,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,14,8,0.5714285714285714,-133.33333333333331,10,0.7142857142857143,1.8571428571428572,0.6024754345417023,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,13,12,0.9230769230769231,-1200.0000000000007,13,1.0,17.53846153846154,0.9857006072998047,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,13,11,0.8461538461538461,-550.0,12,0.9230769230769231,6.923076923076923,0.7831257581710815,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,13,8,0.6153846153846154,-160.00000000000003,9,0.6923076923076923,0.6923076923076923,0.5838826894760132,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,12,12,1.0,,12,1.0,21.25,0.9993263185024261,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,12,9,0.75,-300.0,10,0.8333333333333334,4.166666666666667,0.6721238195896149,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,12,8,0.6666666666666666,-199.99999999999994,9,0.75,1.5,0.7863503992557526,SAMPLE_TOO_SMALL
