flow_path_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_8+,110,108,0.9818181818181818,-5399.999999999998,110,1.0,17.51818181818182,0.9823253452777863,OK
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_8+,99,90,0.9090909090909091,-999.9999999999997,99,1.0,11.212121212121213,0.9274660348892212,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_8+,98,79,0.8061224489795918,-415.7894736842106,92,0.9387755102040817,10.83673469387755,0.925966203212738,OK
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_8+,80,67,0.8375,-515.3846153846155,74,0.925,8.9,0.9152607619762421,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,65,37,0.5692307692307692,-132.14285714285714,49,0.7538461538461538,1.1538461538461537,0.6130045652389526,OK
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,50,35,0.7,-233.3333333333333,44,0.88,3.6,0.7813229560852051,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,50,26,0.52,-108.33333333333334,40,0.8,0.72,0.7466616332530975,OK
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,47,26,0.5531914893617021,-123.80952380952382,35,0.7446808510638298,0.6808510638297872,0.6126439571380615,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,40,26,0.65,-185.71428571428572,34,0.85,2.95,0.6979958415031433,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_8+,39,34,0.8717948717948718,-680.0000000000001,35,0.8974358974358975,8.58974358974359,0.9032721519470215,OK
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,39,21,0.5384615384615384,-116.66666666666666,32,0.8205128205128205,1.0256410256410255,0.6515413522720337,OK
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,35,25,0.7142857142857143,-250.00000000000003,30,0.8571428571428571,4.114285714285714,0.7415128350257874,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,33,17,0.5151515151515151,-106.25,26,0.7878787878787878,1.696969696969697,0.7647905945777893,OK
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,29,16,0.5517241379310345,-123.07692307692307,26,0.896551724137931,0.6206896551724138,0.6106210350990295,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,29,11,0.3793103448275862,163.63636363636365,21,0.7241379310344828,-1.5172413793103448,0.6048629283905029,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,27,20,0.7407407407407407,-285.71428571428567,24,0.8888888888888888,4.703703703703703,0.7589943408966064,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_1-3,25,12,0.48,108.33333333333334,16,0.64,-1.08,0.5348473191261292,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_NOT_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q3_LEAD_4-7,22,15,0.6818181818181818,-214.28571428571422,21,0.9545454545454546,3.5,0.7312566637992859,SAMPLE_TOO_SMALL
