margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,41,38,0.926829268292683,-1266.6666666666674,41,1.0,19.365853658536587,0.9862646460533142,OK
Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,33,32,0.9696969696969697,-3200.0000000000027,33,1.0,18.818181818181817,0.9857006072998047,OK
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,31,30,0.967741935483871,-3000.0000000000027,31,1.0,8.0,0.8773869276046753,OK
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,28,27,0.9642857142857143,-2700.0000000000014,28,1.0,15.75,0.9645596146583557,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,27,19,0.7037037037037037,-237.5,24,0.8888888888888888,4.37037037037037,0.7346483469009399,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,27,14,0.5185185185185185,-107.69230769230768,22,0.8148148148148148,1.7407407407407407,0.7626728415489197,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,19,16,0.8421052631578947,-533.3333333333331,16,0.8421052631578947,9.052631578947368,0.9658461213111877,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,18,11,0.6111111111111112,-157.14285714285717,16,0.8888888888888888,3.9444444444444446,0.8772497177124023,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,18,10,0.5555555555555556,-125.00000000000001,14,0.7777777777777778,1.1111111111111112,0.6101573705673218,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,17,8,0.47058823529411764,112.50000000000001,13,0.7647058823529411,-0.5294117647058824,0.6305723786354065,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,16,15,0.9375,-1500.0,16,1.0,20.75,0.9989229440689087,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,15,13,0.8666666666666667,-650.0000000000002,13,0.8666666666666667,13.466666666666667,0.9875024557113647,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,15,9,0.6,-150.0,11,0.7333333333333333,1.8666666666666667,0.6039668917655945,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,13,11,0.8461538461538461,-550.0,12,0.9230769230769231,6.923076923076923,0.7831257581710815,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,13,10,0.7692307692307693,-333.3333333333334,12,0.9230769230769231,10.538461538461538,0.8922256231307983,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,13,9,0.6923076923076923,-224.99999999999997,12,0.9230769230769231,2.0,0.6917333602905273,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,12,12,1.0,,12,1.0,16.416666666666668,0.9731907844543457,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,12,9,0.75,-300.0,10,0.8333333333333334,4.166666666666667,0.6721238195896149,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,12,8,0.6666666666666666,-199.99999999999994,9,0.75,1.5,0.7863503992557526,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,12,6,0.5,-100.0,9,0.75,0.0,0.523097425699234,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,11,4,0.36363636363636365,175.0,8,0.7272727272727273,-1.6363636363636365,0.5697317123413086,SAMPLE_TOO_SMALL
