margin_trajectory,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_TRAIL_4_7__Q2_TRAIL_14_PLUS__Q3_TRAIL_14_PLUS,148,3,0.02027027027027027,4833.333333333333,13,0.08783783783783784,-22.47972972972973,0.013312638271600008,OK
Q1_TRAIL_14_PLUS__Q2_TRAIL_14_PLUS__Q3_TRAIL_14_PLUS,84,0,0.0,,1,0.011904761904761904,-24.80952380952381,0.002195253560785204,OK
Q1_TRAIL_4_7__Q2_TRAIL_8_13__Q3_TRAIL_14_PLUS,65,0,0.0,,4,0.06153846153846154,-19.892307692307693,0.020719528198242188,OK
Q1_TRAIL_8_13__Q2_TRAIL_14_PLUS__Q3_TRAIL_14_PLUS,62,1,0.016129032258064516,6100.0,5,0.08064516129032258,-20.887096774193548,0.004278331762179732,OK
Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_TRAIL_4_7,55,8,0.14545454545454545,587.5,21,0.38181818181818183,-6.4,0.23541975021362305,OK
Q1_TRAIL_4_7__Q2_TRAIL_8_13__Q3_TRAIL_8_13,46,5,0.10869565217391304,820.0,12,0.2608695652173913,-9.543478260869565,0.11015775799751282,OK
Q1_TIE__Q2_TRAIL_4_7__Q3_TRAIL_4_7,43,7,0.16279069767441862,514.2857142857142,19,0.4418604651162791,-6.372093023255814,0.2178863286972046,OK
Q1_TIE__Q2_TRAIL_14_PLUS__Q3_TRAIL_14_PLUS,42,0,0.0,,6,0.14285714285714285,-20.595238095238095,0.004255296196788549,OK
Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS,41,38,0.926829268292683,-1266.6666666666674,41,1.0,19.365853658536587,0.9862646460533142,OK
Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_TRAIL_8_13,35,3,0.08571428571428572,1066.6666666666667,13,0.37142857142857144,-8.514285714285714,0.1334100365638733,OK
Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS,33,32,0.9696969696969697,-3200.0000000000027,33,1.0,18.818181818181817,0.9857006072998047,OK
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13,31,30,0.967741935483871,-3000.0000000000027,31,1.0,8.0,0.8773869276046753,OK
Q1_TRAIL_1_3__Q2_TRAIL_14_PLUS__Q3_TRAIL_14_PLUS,30,1,0.03333333333333333,2900.0,3,0.1,-21.2,0.0011102845019195229,OK
Q1_LEAD_4_7__Q2_LEAD_8_13__Q3_LEAD_14_PLUS,28,27,0.9642857142857143,-2700.0000000000014,28,1.0,15.75,0.9645596146583557,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_TRAIL_14_PLUS,28,0,0.0,,2,0.07142857142857142,-14.821428571428571,0.033613359555602074,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7,27,19,0.7037037037037037,-237.5,24,0.8888888888888888,4.37037037037037,0.7346483469009399,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_4_7,27,14,0.5185185185185185,-107.69230769230768,22,0.8148148148148148,1.7407407407407407,0.7626728415489197,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_8_13__Q3_TRAIL_4_7,27,4,0.14814814814814814,575.0000000000001,8,0.2962962962962963,-6.962962962962963,0.20735126733779907,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TRAIL_4_7__Q3_TRAIL_8_13,27,1,0.037037037037037035,2600.0000000000005,3,0.1111111111111111,-9.925925925925926,0.100324347615242,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_8_13__Q3_TRAIL_14_PLUS,26,1,0.038461538461538464,2500.0,2,0.07692307692307693,-18.923076923076923,0.01984041929244995,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_8_13__Q3_TRAIL_8_13,26,1,0.038461538461538464,2500.0,7,0.2692307692307692,-11.192307692307692,0.1173437312245369,SAMPLE_TOO_SMALL
