period_binary_path_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_NOT_WIN__P2_WIN__P3_WIN__Q3_LEAD_8+,114,91,0.7982456140350878,-395.6521739130436,108,0.9473684210526315,9.982456140350877,0.9152894914150238,OK
P1_WIN__P2_WIN__P3_WIN__Q3_LEAD_8+,110,108,0.9818181818181818,-5399.999999999998,110,1.0,17.51818181818182,0.9823253452777863,OK
P1_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_8+,99,90,0.9090909090909091,-999.9999999999997,99,1.0,11.212121212121213,0.9274660348892212,OK
P1_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_8+,82,68,0.8292682926829268,-485.71428571428555,76,0.926829268292683,8.804878048780488,0.9111711084842682,OK
P1_NOT_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_1-3,65,37,0.5692307692307692,-132.14285714285714,49,0.7538461538461538,1.1538461538461537,0.6130045652389526,OK
P1_NOT_WIN__P2_WIN__P3_WIN__Q3_LEAD_4-7,60,37,0.6166666666666667,-160.86956521739134,50,0.8333333333333334,3.05,0.7629051804542542,OK
P1_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_4-7,50,35,0.7,-233.3333333333333,44,0.88,3.6,0.7813229560852051,OK
P1_NOT_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_4-7,50,26,0.52,-108.33333333333334,40,0.8,0.72,0.7466616332530975,OK
P1_WIN__P2_NOT_WIN__P3_NOT_WIN__Q3_LEAD_1-3,47,26,0.5531914893617021,-123.80952380952382,35,0.7446808510638298,0.6808510638297872,0.6126439571380615,OK
P1_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_4-7,41,29,0.7073170731707317,-241.66666666666666,37,0.9024390243902439,4.024390243902439,0.7350225448608398,OK
P1_NOT_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_4-7,40,26,0.65,-185.71428571428572,34,0.85,2.95,0.6979958415031433,OK
P1_NOT_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_8+,39,34,0.8717948717948718,-680.0000000000001,35,0.8974358974358975,8.58974358974359,0.9032721519470215,OK
P1_WIN__P2_WIN__P3_NOT_WIN__Q3_LEAD_1-3,39,21,0.5384615384615384,-116.66666666666666,32,0.8205128205128205,1.0256410256410255,0.6515413522720337,OK
P1_WIN__P2_NOT_WIN__P3_NOT_WIN__Q3_LEAD_4-7,35,25,0.7142857142857143,-250.00000000000003,30,0.8571428571428571,4.114285714285714,0.7415128350257874,OK
P1_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_1-3,31,12,0.3870967741935484,158.33333333333334,22,0.7096774193548387,-1.4516129032258065,0.5825713276863098,OK
P1_NOT_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_1-3,29,16,0.5517241379310345,-123.07692307692307,26,0.896551724137931,0.6206896551724138,0.6106210350990295,SAMPLE_TOO_SMALL
P1_NOT_WIN__P2_WIN__P3_WIN__Q3_LEAD_1-3,26,13,0.5,-100.0,17,0.6538461538461539,-0.9615384615384616,0.5461346507072449,SAMPLE_TOO_SMALL
P1_NOT_WIN__P2_NOT_WIN__P3_WIN__Q3_LEAD_8+,13,12,0.9230769230769231,-1200.0000000000007,12,0.9230769230769231,7.615384615384615,0.8596516251564026,SAMPLE_TOO_SMALL
P1_WIN__P2_NOT_WIN__P3_NOT_WIN__Q3_LEAD_8+,12,11,0.9166666666666666,-1099.9999999999993,12,1.0,10.666666666666666,0.8984298706054688,SAMPLE_TOO_SMALL
P1_WIN__P2_WIN__P3_WIN__Q3_LEAD_4-7,5,5,1.0,,5,1.0,4.0,0.7180043458938599,SAMPLE_TOO_SMALL
