period_path,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_LOST__P2_LOST__P3_LOST,346,3,0.008670520231213872,11433.333333333334,22,0.06358381502890173,-21.59826589595376,0.010376900434494019,OK
P1_LOST__P2_LOST__P3_WIN,234,37,0.1581196581196581,532.4324324324325,74,0.3162393162393162,-8.952991452991453,0.14833898097276688,OK
P1_WIN__P2_LOST__P3_LOST,218,32,0.14678899082568808,581.25,75,0.3440366972477064,-8.844036697247706,0.16728153824806213,OK
P1_LOST__P2_WIN__P3_LOST,211,47,0.22274881516587677,348.936170212766,80,0.3791469194312796,-7.507109004739337,0.20228350162506104,OK
P1_WIN__P2_WIN__P3_LOST,175,114,0.6514285714285715,-186.8852459016394,150,0.8571428571428571,3.657142857142857,0.7144113183021545,OK
P1_LOST__P2_WIN__P3_WIN,165,97,0.5878787878787879,-142.64705882352942,136,0.8242424242424242,3.1636363636363636,0.761019766330719,OK
P1_TIE__P2_LOST__P3_LOST,154,11,0.07142857142857142,1300.0000000000002,36,0.23376623376623376,-13.746753246753247,0.05603259801864624,OK
P1_WIN__P2_LOST__P3_WIN,146,82,0.5616438356164384,-128.125,113,0.773972602739726,1.417808219178082,0.6769508421421051,OK
P1_LOST__P2_LOST__P3_TIE,133,10,0.07518796992481203,1230.0000000000002,30,0.22556390977443608,-14.300751879699249,0.05359430983662605,OK
P1_TIE__P2_LOST__P3_WIN,117,39,0.3333333333333333,200.00000000000003,69,0.5897435897435898,-3.452991452991453,0.3926519751548767,OK
P1_WIN__P2_WIN__P3_WIN,115,113,0.9826086956521739,-5649.999999999996,115,1.0,16.930434782608696,0.9773082137107849,OK
P1_TIE__P2_WIN__P3_LOST,115,39,0.3391304347826087,194.87179487179486,65,0.5652173913043478,-2.756521739130435,0.489022433757782,OK
P1_LOST__P2_WIN__P3_TIE,99,42,0.42424242424242425,135.7142857142857,67,0.6767676767676768,-1.4444444444444444,0.5378013849258423,OK
P1_WIN__P2_LOST__P3_TIE,85,38,0.4470588235294118,123.6842105263158,49,0.5764705882352941,-2.364705882352941,0.46608299016952515,OK
P1_LOST__P2_TIE__P3_LOST,80,9,0.1125,788.8888888888889,16,0.2,-12.625,0.06968522071838379,OK
P1_TIE__P2_WIN__P3_WIN,65,51,0.7846153846153846,-364.2857142857143,58,0.8923076923076924,10.246153846153845,0.9085003137588501,OK
P1_TIE__P2_LOST__P3_TIE,65,6,0.09230769230769231,983.3333333333334,21,0.3230769230769231,-8.846153846153847,0.19799518585205078,OK
P1_WIN__P2_WIN__P3_TIE,56,49,0.875,-700.0,55,0.9821428571428571,11.392857142857142,0.9267708659172058,OK
P1_LOST__P2_TIE__P3_WIN,54,17,0.3148148148148148,217.64705882352936,32,0.5925925925925926,-3.6296296296296298,0.4299035966396332,OK
P1_WIN__P2_TIE__P3_LOST,52,20,0.38461538461538464,160.0,33,0.6346153846153846,-2.0961538461538463,0.44472362101078033,OK
P1_LOST__P2_TIE__P3_TIE,47,13,0.2765957446808511,261.5384615384615,18,0.3829787234042553,-5.297872340425532,0.23216140270233154,OK
P1_WIN__P2_TIE__P3_WIN,46,37,0.8043478260869565,-411.11111111111114,44,0.9565217391304348,9.0,0.9047556221485138,OK
P1_TIE__P2_WIN__P3_TIE,34,21,0.6176470588235294,-161.53846153846155,27,0.7941176470588235,2.7941176470588234,0.761669784784317,OK
P1_TIE__P2_TIE__P3_LOST,32,9,0.28125,255.55555555555554,18,0.5625,-6.84375,0.21693125367164612,OK
P1_WIN__P2_TIE__P3_TIE,26,18,0.6923076923076923,-224.99999999999997,23,0.8846153846153846,5.038461538461538,0.7200311422348022,SAMPLE_TOO_SMALL
P1_TIE__P2_TIE__P3_WIN,24,17,0.7083333333333334,-242.85714285714292,21,0.875,3.9583333333333335,0.7771738767623901,SAMPLE_TOO_SMALL
P1_TIE__P2_TIE__P3_TIE,19,6,0.3157894736842105,216.66666666666669,9,0.47368421052631576,-1.9473684210526316,0.4772269129753113,SAMPLE_TOO_SMALL
