path_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,301,276,0.9169435215946844,-1104.0000000000002,295,0.9800664451827242,12.880398671096346,0.9541483521461487,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,112,80,0.7142857142857143,-250.00000000000003,100,0.8928571428571429,3.7589285714285716,0.749278724193573,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,88,48,0.5454545454545454,-119.99999999999997,68,0.7727272727272727,0.8068181818181818,0.6213310360908508,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_8+,70,59,0.8428571428571429,-536.3636363636364,67,0.9571428571428572,9.271428571428572,0.9022462964057922,OK
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_8+,67,54,0.8059701492537313,-415.38461538461536,60,0.8955223880597015,11.164179104477611,0.9275375604629517,OK
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,50,30,0.6,-150.0,43,0.86,2.38,0.7664401829242706,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,36,23,0.6388888888888888,-176.92307692307688,28,0.7777777777777778,1.8333333333333333,0.6367140114307404,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,33,13,0.3939393939393939,153.84615384615387,23,0.696969696969697,-0.8181818181818182,0.7294631004333496,OK
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,30,15,0.5,-100.0,22,0.7333333333333333,0.36666666666666664,0.5722123682498932,OK
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,28,18,0.6428571428571429,-180.00000000000003,25,0.8928571428571429,2.75,0.6882584691047668,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,28,14,0.5,-100.0,21,0.75,-0.6785714285714286,0.5339333713054657,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,18,5,0.2777777777777778,259.99999999999994,13,0.7222222222222222,-2.888888888888889,0.5482017397880554,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,17,13,0.7647058823529411,-324.99999999999994,15,0.8823529411764706,4.117647058823529,0.6892237067222595,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,14,11,0.7857142857142857,-366.66666666666663,12,0.8571428571428571,5.785714285714286,0.7863166034221649,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,11,6,0.5454545454545454,-119.99999999999997,10,0.9090909090909091,1.4545454545454546,0.6220689415931702,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,11,6,0.5454545454545454,-119.99999999999997,8,0.7272727272727273,0.7272727272727273,0.6333215832710266,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,10,7,0.7,-233.3333333333333,7,0.7,3.4,0.7446642518043518,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_8+,10,6,0.6,-150.0,10,1.0,3.4,0.8441613912582397,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_8+,9,8,0.8888888888888888,-799.9999999999997,8,0.8888888888888888,7.333333333333333,0.8596516251564026,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,9,7,0.7777777777777778,-350.00000000000006,9,1.0,6.0,0.6915439367294312,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,8,4,0.5,-100.0,6,0.75,2.125,0.7335285544395447,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,8,3,0.375,166.66666666666666,4,0.5,-2.25,0.5577204525470734,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_8+,7,7,1.0,,7,1.0,6.714285714285714,0.9099911451339722,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,7,5,0.7142857142857143,-250.00000000000003,7,1.0,1.7142857142857142,0.600955069065094,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_8+,3,3,1.0,,3,1.0,9.333333333333334,0.869610071182251,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_8+,1,1,1.0,,1,1.0,14.0,0.8293628096580505,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_8+,1,0,0.0,,1,1.0,-4.0,0.8602086901664734,SAMPLE_TOO_SMALL
