path_micro,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_2-3,108,102,0.9444444444444444,-1699.9999999999993,104,0.9629629629629629,13.805555555555555,0.9574201107025146,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_3.5-4.5,51,45,0.8823529411764706,-749.9999999999998,50,0.9803921568627451,11.176470588235293,0.9556829333305359,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_0.5-1.5,46,45,0.9782608695652174,-4500.000000000003,45,0.9782608695652174,16.47826086956522,0.9693618416786194,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_5-6,36,34,0.9444444444444444,-1699.9999999999993,36,1.0,12.11111111111111,0.9366374611854553,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7__SPREAD_2-3,31,23,0.7419354838709677,-287.5,24,0.7741935483870968,6.290322580645161,0.7831257581710815,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7__SPREAD_3.5-4.5,29,20,0.6896551724137931,-222.22222222222229,24,0.8275862068965517,2.7241379310344827,0.7180043458938599,SAMPLE_TOO_SMALL
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_2-3,28,23,0.8214285714285714,-459.9999999999999,24,0.8571428571428571,10.928571428571429,0.9492791295051575,SAMPLE_TOO_SMALL
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_2-3,25,20,0.8,-400.0000000000001,22,0.88,8.84,0.9031344652175903,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_6.5-7,24,20,0.8333333333333334,-500.00000000000017,24,1.0,10.0,0.8988388180732727,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3__SPREAD_2-3,22,14,0.6363636363636364,-175.0,17,0.7727272727272727,3.5454545454545454,0.6144847273826599,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+__SPREAD_7.5-9.5,21,18,0.8571428571428571,-599.9999999999998,21,1.0,12.333333333333334,0.943427562713623,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3__SPREAD_3.5-4.5,21,12,0.5714285714285714,-133.33333333333331,15,0.7142857142857143,-0.42857142857142855,0.5971131324768066,SAMPLE_TOO_SMALL
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_4-7__SPREAD_2-3,17,11,0.6470588235294118,-183.33333333333334,12,0.7058823529411765,1.8235294117647058,0.7606667280197144,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7__SPREAD_7.5-9.5,15,10,0.6666666666666666,-199.99999999999994,15,1.0,1.4,0.7468512654304504,SAMPLE_TOO_SMALL
