season,game_id,home_team,away_team,underdog_team,favorite_team,underdog_side,location,spread_line_away_perspective,pregame_spread_abs,spread_bucket,q1_margin,q2_margin,q3_margin,final_margin,q1_state,q2_state,q3_state,final_state,q1_lead_bucket,q2_lead_bucket,q3_lead_bucket,path,path_with_q3_lead,underdog_won_su,underdog_covered_pregame_spread,ats_margin,q3_wp,q3_fair_ml
2017,2017_01_ARI_DET,DET,ARI,DET,ARI,home,home dog,-2.5,2.5,<=3,-10.0,-1.0,-2.0,12,LOST,LOST,LOST,WIN,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,True,True,14.5,0.382071316242218,161.7312416528122
2017,2017_01_ATL_CHI,CHI,ATL,CHI,ATL,home,home dog,-6.5,6.5,3.5-7,-3.0,0.0,-3.0,-6,LOST,TIE,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_TIE__Q3_LOST,Q1_LOST__Q2_TIE__Q3_LOST__Q3_LEAD_not_leading,False,True,0.5,0.48146405816078186,107.69982370440128
2017,2017_01_BAL_CIN,CIN,BAL,BAL,CIN,away,away dog,2.5,2.5,<=3,3.0,17.0,20.0,20,WIN,WIN,WIN,WIN,1-3,8+,8+,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,True,True,22.5,0.9777231812477112,-4388.9712984591015
2017,2017_01_CAR_SF,SF,CAR,SF,CAR,home,home dog,-4.5,4.5,3.5-7,-7.0,-13.0,-20.0,-20,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-15.5,0.014386355876922607,6851.0306053537615
2017,2017_01_IND_LA,LA,IND,IND,LA,away,away dog,3.5,3.5,3.5-7,-7.0,-24.0,-34.0,-37,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-33.5,0.00012362003326416016,808830.3760848602
2017,2017_01_JAX_HOU,HOU,JAX,JAX,HOU,away,away dog,5.5,5.5,3.5-7,3.0,19.0,19.0,22,WIN,WIN,WIN,WIN,1-3,8+,8+,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,True,True,27.5,0.9843012690544128,-6269.941643474662
2017,2017_01_KC_NE,NE,KC,KC,NE,away,away dog,8.0,8.0,7.5+,0.0,-3.0,-6.0,15,TIE,LOST,LOST,WIN,not_leading,not_leading,not_leading,Q1_TIE__Q2_LOST__Q3_LOST,Q1_TIE__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,True,True,23.0,0.21473991870880127,365.6796025689351
2017,2017_01_LAC_DEN,DEN,LAC,LAC,DEN,away,away dog,3.0,3.0,<=3,-7.0,-7.0,-17.0,-3,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,0.0,0.03074084222316742,3153.0013092691506
2017,2017_01_NO_MIN,MIN,NO,NO,MIN,away,away dog,3.0,3.0,<=3,0.0,-10.0,-10.0,-10,TIE,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_TIE__Q2_LOST__Q3_LOST,Q1_TIE__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-7.0,0.09108787775039673,997.8409253756541
2017,2017_01_NYG_DAL,DAL,NYG,NYG,DAL,away,away dog,6.0,6.0,3.5-7,-3.0,-16.0,-13.0,-16,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-10.0,0.0579901747405529,1624.4300512526195
2017,2017_01_NYJ_BUF,BUF,NYJ,NYJ,BUF,away,away dog,7.0,7.0,3.5-7,0.0,-1.0,-2.0,-9,TIE,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_TIE__Q2_LOST__Q3_LOST,Q1_TIE__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-2.0,0.27264779806137085,266.7735470854263
2017,2017_01_OAK_TEN,TEN,LV,LV,TEN,away,away dog,2.5,2.5,<=3,0.0,3.0,3.0,10,TIE,WIN,WIN,WIN,not_leading,1-3,1-3,Q1_TIE__Q2_WIN__Q3_WIN,Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,True,True,12.5,0.6445004940032959,-181.29434306703965
2017,2017_01_PHI_WAS,WAS,PHI,WAS,PHI,home,home dog,-2.0,2.0,<=3,-7.0,-2.0,-2.0,-13,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-11.0,0.4520484209060669,121.21524017175902
2017,2017_01_PIT_CLE,CLE,PIT,CLE,PIT,home,home dog,-10.0,10.0,7.5+,0.0,-7.0,-11.0,-3,TIE,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_TIE__Q2_LOST__Q3_LOST,Q1_TIE__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,True,7.0,0.08243584632873535,1113.064515662553
2017,2017_01_SEA_GB,GB,SEA,SEA,GB,away,away dog,2.5,2.5,<=3,0.0,3.0,-8.0,-8,TIE,WIN,LOST,LOST,not_leading,1-3,not_leading,Q1_TIE__Q2_WIN__Q3_LOST,Q1_TIE__Q2_WIN__Q3_LOST__Q3_LEAD_not_leading,False,False,-5.5,0.17625710368156433,467.35301960178265
2017,2017_02_ARI_IND,IND,ARI,IND,ARI,home,home dog,-7.0,7.0,3.5-7,10.0,7.0,7.0,-3,WIN,WIN,WIN,LOST,8+,4-7,4-7,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,False,True,4.0,0.8490952849388123,-562.6698175696679
2017,2017_02_BUF_CAR,CAR,BUF,BUF,CAR,away,away dog,6.5,6.5,3.5-7,-3.0,-6.0,-6.0,-6,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,True,0.5,0.2011755406856537,397.0783210482567
2017,2017_02_CHI_TB,TB,CHI,CHI,TB,away,away dog,7.0,7.0,3.5-7,-10.0,-26.0,-26.0,-22,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-15.0,0.0003229379653930664,309556.9952011813
2017,2017_02_CLE_BAL,BAL,CLE,CLE,BAL,away,away dog,7.5,7.5,7.5+,-7.0,-14.0,-11.0,-14,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-6.5,0.0673035979270935,1385.8046683971459
2017,2017_02_DAL_DEN,DEN,DAL,DEN,DAL,home,home dog,-2.5,2.5,<=3,7.0,11.0,25.0,25,WIN,WIN,WIN,WIN,4-7,8+,8+,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,True,True,27.5,0.9946312308311462,-18526.243158327135
2017,2017_02_DET_NYG,NYG,DET,DET,NYG,away,away dog,3.0,3.0,<=3,7.0,10.0,7.0,14,WIN,WIN,WIN,WIN,4-7,8+,4-7,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,True,True,17.0,0.7831257581710815,-361.0967128078084
2017,2017_02_GB_ATL,ATL,GB,GB,ATL,away,away dog,3.5,3.5,3.5-7,0.0,-17.0,-24.0,-11,TIE,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_TIE__Q2_LOST__Q3_LOST,Q1_TIE__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-7.5,0.005568105261772871,17859.4305959942
2017,2017_02_HOU_CIN,CIN,HOU,HOU,CIN,away,away dog,5.5,5.5,3.5-7,3.0,4.0,1.0,4,WIN,WIN,WIN,WIN,1-3,4-7,1-3,Q1_WIN__Q2_WIN__Q3_WIN,Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,True,True,9.5,0.5379102826118469,-116.40819139024575
2017,2017_02_MIA_LAC,LAC,MIA,MIA,LAC,away,away dog,3.5,3.5,3.5-7,3.0,-7.0,-4.0,2,WIN,LOST,LOST,WIN,1-3,not_leading,not_leading,Q1_WIN__Q2_LOST__Q3_LOST,Q1_WIN__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,True,True,5.5,0.19724446535110474,406.98507469902967
2017,2017_02_MIN_PIT,PIT,MIN,MIN,PIT,away,away dog,8.5,8.5,7.5+,-7.0,-11.0,-11.0,-17,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-8.5,0.07962608337402344,1155.8698828658346
2017,2017_02_NE_NO,NO,NE,NO,NE,home,home dog,-5.5,5.5,3.5-7,-17.0,-17.0,-20.0,-16,LOST,LOST,LOST,LOST,not_leading,not_leading,not_leading,Q1_LOST__Q2_LOST__Q3_LOST,Q1_LOST__Q2_LOST__Q3_LOST__Q3_LEAD_not_leading,False,False,-10.5,0.014382774941623211,6852.761230421798
